Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
107.57,109.16,107.05,109.0,7407338,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-10-26
108.89,109.75,108.33,108.58,4569721,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-10-27
106.81,107.41,105.38,106.42,7188068,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-10-28
106.38,106.58,104.57,105.0,4311737,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-10-29
104.76,105.55,103.13,105.11,4487223,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-10-30
107.09,108.7,106.11,107.48,6050990,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-02
108.74,110.8,108.36,109.56,3933924,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-03
110.17,114.23,110.1,111.53,7512855,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-04
113.51,114.84,112.72,113.53,5245310,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-05
113.88,115.14,112.84,114.42,5737301,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-06
111.8,113.21,106.19,109.39,14258004,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-09
109.25,111.59,108.4,110.81,5378351,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-10
111.94,112.95,111.46,112.65,4049373,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-11
112.41,112.86,111.3,111.95,2895440,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-12
113.0,113.09,111.42,112.6,3975067,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-13
112.05,113.75,111.59,113.67,4299283,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-16
113.22,114.62,112.34,113.06,3871540,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-17
113.67,113.71,109.75,109.77,4624655,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-18
110.0,111.2,109.26,111.0,3647109,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-19
110.74,111.76,110.07,110.89,4296794,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-20
111.43,111.52,108.86,109.27,4170952,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-23
109.31,109.59,107.25,107.61,7398052,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-24
107.05,108.4,105.63,106.41,6329152,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-25
106.67,107.75,105.87,107.62,1979001,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-27
107.77,108.55,107.09,108.22,5794064,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-11-30
109.24,109.6,108.07,108.49,4350351,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-01
108.31,108.63,107.36,108.15,3492825,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-02
108.15,108.64,107.08,107.53,3911816,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-03
107.08,108.27,106.93,107.9,4754220,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-04
107.72,108.3,106.64,107.18,7004021,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-07
106.8,107.24,106.2,106.8,6746616,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-08
107.1,107.69,105.52,106.32,5824387,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-09
106.76,107.09,106.04,106.52,4918723,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-10
106.1,107.35,105.32,107.02,4801521,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-11
107.5,109.16,106.77,106.79,6326353,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-14
106.94,108.4,106.4,107.45,5331373,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-15
107.45,108.21,106.61,107.34,4529033,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-16
107.83,108.94,107.61,108.78,3999968,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-17
108.85,109.61,107.49,108.97,11801316,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-18
107.56,108.18,105.37,108.09,4620482,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-21
107.83,109.04,106.96,108.28,3488853,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-22
108.87,109.68,107.43,107.45,3244943,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-23
107.44,108.95,107.38,108.35,1451492,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-24
108.96,109.1,107.26,107.79,2084482,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-28
108.5,108.94,108.14,108.33,2888557,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-29
108.69,109.12,107.84,108.44,2450254,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-30
108.17,109.64,107.85,109.49,3012912,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2020-12-31
109.53,110.25,107.26,109.11,6256688,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2021-01-04
108.85,110.91,108.3,110.46,4372038,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2021-01-05
108.95,111.03,108.59,110.23,5599758,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2021-01-06
110.28,111.62,109.25,111.3,5629849,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2021-01-07
111.67,112.55,110.34,111.61,4303741,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2021-01-08
111.21,111.98,110.23,110.84,3260211,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2021-01-11
110.52,110.72,108.34,108.84,5856078,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2021-01-12
109.09,112.9,108.25,112.15,6112164,0.0,0.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,2021-01-13
