Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
31.5,31.53,30.37,30.48,1366930,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-10-26
30.25,30.51,29.16,29.21,1440505,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-10-27
28.71,29.68,28.55,29.45,2236393,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-10-28
29.39,30.74,29.11,30.43,3679039,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-10-29
30.85,32.14,29.84,30.21,3327976,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-10-30
30.85,31.65,30.64,31.36,2411368,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-02
31.95,32.34,31.53,31.91,2120925,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-03
31.28,32.56,30.77,31.98,2227308,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-04
32.1,32.84,31.7,31.91,2023764,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-05
32.27,32.33,31.2,31.55,2192379,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-06
34.06,34.88,33.96,34.44,2331380,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-09
34.57,35.48,34.21,35.22,1675267,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-10
35.22,35.54,34.27,34.73,1291981,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-11
34.09,35.42,33.34,33.73,1376701,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-12
34.23,34.41,33.0,34.15,1456569,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-13
35.18,35.54,34.81,35.3,1635101,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-16
34.75,35.26,34.22,35.24,1539955,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-17
35.48,35.53,34.88,34.89,1306985,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-18
34.69,34.98,33.98,34.87,1856167,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-19
34.69,34.83,33.74,33.97,1942087,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-20
34.08,34.34,33.74,33.99,2365009,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-23
34.49,34.83,33.85,34.55,2969902,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-24
34.27,34.27,33.3,33.55,2389653,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-25
33.35,33.6,32.69,33.03,1413304,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-27
32.7,32.9,31.9,32.2,11979570,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-11-30
33.01,33.13,32.18,33.02,3028126,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-12-01
32.97,33.34,32.5,33.11,1669166,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-12-02
33.02,33.1,32.37,32.59,2129263,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-12-03
33.15,34.24,32.9,34.17,1848201,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-12-04
33.95,34.17,33.05,33.25,2067572,0.0,0.0,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2020-12-07
