Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
123.38,123.65,119.81,121.13,2186233,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-10-26
121.59,122.2,120.23,120.29,2475120,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-10-27
118.9,119.54,116.2,116.47,3387212,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-10-28
116.23,119.45,115.64,118.48,2680256,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-10-29
117.31,118.66,116.33,118.53,3099150,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-10-30
120.14,120.14,117.62,118.48,2445333,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-02
119.5,121.3,119.27,119.75,2549906,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-03
122.39,126.38,121.02,125.94,3765494,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-04
127.45,130.95,126.86,130.4,3753271,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-05
130.98,133.78,130.0,133.5,3814632,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-06
138.56,140.38,135.7,135.82,5151081,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-09
135.0,136.86,133.9,134.78,4742619,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-10
135.56,138.64,135.56,137.38,2515248,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-11
137.35,137.69,134.39,135.48,2013556,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-12
137.43,137.93,135.68,136.27,2220393,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-13
137.78,140.17,136.81,138.01,3433233,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-16
136.99,137.46,135.15,135.87,2978125,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-17
135.95,136.51,132.97,133.23,2359399,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-18
131.66,136.23,131.5,136.17,2473972,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-19
136.62,136.91,134.68,134.88,2295742,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-20
135.28,137.34,135.18,137.07,2884170,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-23
137.69,137.92,132.84,136.89,4678146,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-24
136.61,137.95,134.96,135.95,2040208,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-25
138.12,138.55,137.24,137.75,1305724,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-27
137.65,139.32,137.1,139.08,3010588,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-11-30
140.0,141.91,138.81,140.73,3161120,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-12-01
140.71,141.64,140.07,140.66,2193004,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-12-02
140.58,141.42,139.33,139.75,1734072,0.0,0.0,ADI,Analog Devices,Information Technology,Semiconductors,2020-12-03
