Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
147.4,147.41,144.58,145.77,2823398,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-10-26
146.12,147.19,145.57,146.03,2032115,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-10-27
155.2,159.35,153.88,155.08,4716765,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-10-28
154.67,159.46,153.49,158.19,2225147,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-10-29
156.88,159.42,155.79,157.96,2894674,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-10-30
159.44,162.08,158.5,161.46,2742482,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-02
163.6,167.37,163.07,166.48,2136225,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-03
167.88,168.67,163.85,164.58,2478891,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-04
165.65,166.87,161.94,162.71,2740424,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-05
164.8,166.58,163.56,166.23,1902344,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-06
173.47,174.79,169.65,169.89,2298279,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-09
169.12,173.39,168.18,171.07,1669947,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-10
172.0,173.33,170.56,171.87,1821385,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-11
170.85,171.85,168.47,169.43,1346256,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-12
171.0,171.93,169.63,171.63,1095200,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-13
174.0,177.19,172.45,177.05,2322655,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-16
175.0,176.58,174.25,176.15,1249116,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-17
176.15,176.18,172.88,173.16,1326001,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-18
171.85,174.35,171.36,173.63,1110587,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-19
173.5,173.78,171.24,171.27,1477103,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-20
172.14,173.54,170.25,172.06,1260073,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-23
173.54,175.58,172.25,175.27,1599570,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-24
176.7,176.7,173.42,174.08,910534,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-25
174.66,175.43,174.21,175.25,588310,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-27
174.14,175.1,171.33,173.88,2846364,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-11-30
175.16,176.41,173.64,174.67,2270460,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-01
174.68,175.06,171.01,171.58,2365001,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-02
171.25,173.33,170.88,172.09,1423130,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-03
172.36,175.63,171.7,174.79,1022621,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-04
174.0,174.73,172.85,174.57,1115483,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-07
174.43,174.95,173.34,174.53,1022441,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-08
175.12,175.16,172.77,173.84,1535410,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-09
172.72,172.85,171.21,172.0,1811855,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-10
171.43,173.68,171.08,173.53,1200903,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-11
173.33,175.81,172.29,173.15,3068764,0.0,0.0,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,2020-12-14
