Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
91.46,94.21,91.46,93.59,3753494,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-10-26
93.08,93.8,91.96,92.53,2485842,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-10-27
92.07,93.44,90.18,90.32,2916323,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-10-28
90.06,91.48,88.84,90.54,2215683,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-10-29
90.6,91.14,88.75,89.93,2415003,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-10-30
90.83,91.24,89.77,91.23,3171586,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-02
92.09,92.09,90.45,90.89,2886665,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-03
90.65,92.13,89.99,90.15,2401720,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-04
91.08,92.83,90.58,90.71,3012422,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-05
91.11,91.91,90.47,90.92,2145669,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-06
92.0,94.21,90.03,90.26,3674458,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-09
90.04,91.74,89.38,90.79,2587122,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-10
91.28,92.79,90.73,91.15,2094197,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-11
90.39,90.88,88.84,89.64,1687542,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-12
90.02,90.47,89.2,89.87,1936344,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-13
89.27,89.81,88.0,89.21,4201080,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-16
88.9,89.18,86.49,86.73,3052660,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-17
87.27,87.28,84.05,84.13,2861594,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-18
83.33,83.69,81.98,82.45,4399203,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-19
81.79,82.79,80.81,82.49,5841366,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-20
83.22,83.83,82.4,83.41,4279729,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-23
84.1,84.96,83.33,84.82,2863974,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-24
85.11,85.54,84.28,85.37,2276418,0.0,0.0,AEP,American Electric Power,Utilities,Electric Utilities,2020-11-25
