Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
20.39,20.65,20.05,20.58,5719825,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-10-26
20.57,20.67,20.26,20.34,3741090,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-10-27
20.0,20.16,19.36,19.5,6423738,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-10-28
19.32,19.73,18.98,19.53,4808520,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-10-29
19.5,19.8,19.3,19.5,5978392,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-10-30
19.79,20.14,19.67,20.0,5660898,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-02
20.35,20.68,20.17,20.27,4934276,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-03
20.26,20.42,19.89,19.94,6493567,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-04
20.22,21.28,20.1,20.97,5655096,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-05
20.91,21.33,20.36,20.41,4362604,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-06
21.93,22.32,20.9,20.97,7370728,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-09
20.95,21.07,20.52,20.82,6594143,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-10
21.0,21.6,20.88,21.29,6087606,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-11
21.11,21.11,20.28,20.54,5762109,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-12
20.72,21.01,20.63,20.87,4784001,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-13
21.29,21.43,21.07,21.33,5556805,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-16
21.13,21.52,21.13,21.35,4583154,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-17
21.36,21.55,21.18,21.37,11447347,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-18
21.28,21.3,20.82,20.88,6409394,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-19
20.73,20.85,20.38,20.42,7089511,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-20
20.61,20.7,20.36,20.46,5738095,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-23
20.72,21.23,20.55,21.15,5756802,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-24
21.15,21.28,20.83,20.98,4566922,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-25
21.08,21.12,20.92,21.04,1924099,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-27
20.97,21.03,20.38,20.44,8046366,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-11-30
20.66,20.92,20.54,20.6,5975754,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-01
20.48,21.39,20.27,21.16,6808625,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-02
21.11,21.54,21.01,21.16,5041031,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-03
21.24,21.39,20.89,21.07,4111509,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-04
20.99,21.16,20.64,20.87,4252156,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-07
20.82,21.34,20.76,21.19,4669072,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-08
21.18,21.26,20.69,20.85,4876489,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-09
20.71,20.97,20.64,20.85,4810545,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-10
20.67,21.23,20.52,21.15,4525440,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-11
21.34,21.57,21.16,21.3,4905629,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-14
21.41,22.3,21.3,22.28,5466687,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-15
22.41,22.48,21.86,21.9,6528614,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-16
21.98,22.46,21.98,22.09,6045548,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-17
22.14,22.69,22.02,22.54,14364856,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-18
22.33,23.15,22.08,22.62,6138159,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-21
22.71,23.16,22.59,22.82,4872694,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-22
23.14,23.56,23.0,23.49,5159013,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-23
23.5,23.53,23.1,23.27,2859661,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-24
23.48,23.61,23.24,23.3,3947983,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-28
23.38,23.62,23.08,23.31,2836511,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-29
22.98,23.12,22.66,22.78,8266201,0.0,0.0,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2020-12-30
