Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
31.87,31.91,30.74,31.26,6081510,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-10-26
33.28,33.29,31.15,31.16,12206511,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-10-27
30.42,30.97,29.89,30.23,8199503,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-10-28
30.0,31.42,29.71,31.29,7497863,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-10-29
31.08,31.76,30.77,31.49,6422590,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-10-30
32.25,32.74,31.9,32.45,7343368,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-02
32.95,33.19,32.71,32.89,7236806,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-03
32.33,32.61,31.28,31.59,5470999,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-04
31.83,33.6,31.82,33.43,6533088,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-05
34.04,35.5,32.76,33.16,8449404,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-06
36.96,38.63,36.51,37.52,13918000,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-09
37.89,38.6,37.24,38.23,10319240,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-10
37.86,37.91,36.74,37.35,7313227,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-11
37.03,37.03,35.55,36.06,6949867,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-12
36.46,37.41,36.29,37.32,5113024,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-13
38.59,38.68,37.92,38.49,6147193,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-16
37.84,38.7,37.66,38.42,4696109,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-17
38.25,39.36,38.03,38.55,6310316,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-18
37.99,38.6,37.47,38.54,4283831,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-19
38.65,38.86,38.0,38.61,5760575,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-20
39.38,39.95,38.81,39.77,4804057,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-23
40.79,41.57,40.27,40.98,6154472,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-24
40.27,40.5,39.7,40.12,3868569,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-25
39.95,40.16,39.45,39.71,2046833,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-27
39.1,39.61,38.4,38.44,6492751,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-11-30
39.5,39.78,39.08,39.31,6312676,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-01
39.06,39.88,38.76,39.73,5225072,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-02
39.67,40.27,39.52,39.84,4629681,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-03
40.25,40.81,40.15,40.69,4603210,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-04
40.28,40.34,39.57,39.79,4538241,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-07
39.28,39.95,39.18,39.52,3360410,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-08
39.91,40.29,39.56,39.94,5436572,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-09
39.28,39.94,39.06,39.71,4762226,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-10
38.83,39.17,38.56,38.79,5385339,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-11
39.3,39.37,38.08,38.16,3995544,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-14
38.48,38.86,37.65,38.54,3329274,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-15
38.76,38.77,38.08,38.32,3726882,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-16
38.32,38.35,37.83,38.23,5277852,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-17
38.2,38.46,36.97,37.48,9917517,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-18
37.11,37.67,36.78,37.37,5441890,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-21
37.56,37.62,36.77,36.8,5446751,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-22
37.25,38.04,37.24,37.44,3927230,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-23
37.48,37.5,36.97,37.37,1613849,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-24
37.55,38.02,37.03,37.07,3907952,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-28
37.36,37.43,36.92,37.16,4080769,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-29
37.11,38.04,37.1,37.52,2632299,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-30
37.53,37.96,37.23,37.86,3040734,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2020-12-31
37.65,37.95,36.82,37.13,7193637,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2021-01-04
37.28,38.01,37.18,37.75,4308980,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2021-01-05
38.62,40.66,38.62,40.21,8249127,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2021-01-06
40.78,41.04,40.35,40.89,5235758,0.0,0.0,AIG,American International Group,Financials,Multi-line Insurance,2021-01-07
