Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
106.9,107.03,104.82,106.16,677537,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-10-26
106.58,107.37,105.49,105.57,966693,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-10-27
104.21,105.29,103.54,104.31,2002365,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-10-28
103.66,104.54,101.95,103.0,1494443,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-10-29
102.44,105.36,102.03,103.71,1535939,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-10-30
105.15,106.99,104.11,106.53,1106646,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-02
107.93,109.0,106.73,107.99,857122,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-03
107.33,113.65,106.83,111.75,1218250,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-04
112.57,113.11,109.61,109.77,884415,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-05
110.44,111.55,109.75,110.51,742965,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-06
116.31,118.39,109.89,109.98,1816228,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-09
110.32,114.46,110.0,113.64,1139922,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-10
114.09,114.6,113.29,114.17,749979,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-11
112.71,113.6,112.41,113.15,594173,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-12
113.34,115.84,113.32,115.71,611866,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-13
116.6,117.48,115.72,117.43,715342,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-16
116.73,117.75,115.5,117.08,1050433,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-17
117.33,117.59,114.98,115.45,732620,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-18
114.99,116.32,114.25,116.04,657406,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-19
116.26,117.12,115.22,115.55,1973828,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-20
116.02,116.65,114.42,115.41,794669,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-23
116.12,117.34,115.32,116.42,1154963,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-24
116.12,116.36,113.89,116.07,1241443,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-25
115.97,116.5,114.56,115.86,342418,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-27
115.56,116.12,115.03,115.41,937554,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-11-30
116.39,116.75,115.82,116.71,685552,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-01
116.62,117.18,115.69,116.43,542740,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-02
115.81,116.27,115.16,115.77,709517,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-03
115.61,116.36,115.35,116.02,562908,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-04
115.98,117.0,115.54,116.0,768060,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-07
114.96,117.36,114.83,116.9,784445,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-08
117.2,117.72,116.38,117.48,858429,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-09
117.27,119.69,116.85,119.51,1178886,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-10
119.0,121.27,118.8,119.94,1007982,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-11
120.67,122.01,119.88,120.5,1119719,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-14
121.48,123.91,121.48,123.63,937262,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-15
124.44,126.7,124.31,126.45,992436,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-16
127.16,129.12,126.76,128.19,1030004,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-17
128.08,128.5,124.82,125.32,1621958,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-18
124.7,125.0,121.68,125.0,857878,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-21
124.82,124.82,123.57,123.81,734604,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-22
124.13,124.74,123.0,123.04,488501,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-23
123.02,123.69,122.65,123.42,222973,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-24
124.13,124.4,122.71,123.03,378843,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-28
123.42,123.44,121.27,121.53,555820,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-29
122.12,122.66,121.57,121.7,431101,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-30
121.96,123.9,121.14,123.71,491310,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2020-12-31
123.64,123.71,119.12,120.24,807581,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-04
120.42,120.87,118.87,119.44,608036,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-05
119.85,122.2,119.15,121.93,871343,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-06
122.57,123.63,121.77,122.33,754937,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-07
117.9,122.83,117.9,120.85,847999,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-08
119.67,120.57,118.03,118.46,707825,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-11
118.32,119.17,117.83,118.54,751090,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-12
117.93,118.97,116.55,117.93,970788,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-13
118.02,118.12,115.94,116.01,900206,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-14
115.81,116.52,115.25,116.11,942032,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-15
115.95,117.91,115.01,117.4,912961,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-19
117.53,119.73,117.16,119.47,583671,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-20
119.17,120.15,118.84,119.09,687736,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-21
118.84,119.19,117.49,117.84,723234,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-22
117.58,119.29,117.08,118.29,705761,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-25
118.23,118.95,117.07,117.41,896911,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-26
116.13,116.79,112.92,113.11,1757631,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-27
115.16,116.68,114.05,115.51,1172565,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-28
114.86,118.03,113.3,115.41,1324943,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-01-29
114.37,116.32,114.13,115.19,871127,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-02-01
116.18,118.46,116.18,117.68,711118,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-02-02
117.45,118.17,115.72,116.23,649634,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-02-03
116.42,117.33,115.52,116.36,866486,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-02-04
117.48,119.57,117.0,118.4,808280,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-02-05
118.65,119.11,116.86,117.68,989724,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-02-08
117.62,118.0,116.7,116.91,705656,0.0,0.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2021-02-09
