Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
60.32,60.5,58.65,59.51,6715421,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-10-26
59.78,59.99,58.77,58.83,4626324,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-10-27
57.78,58.22,56.87,57.32,8976958,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-10-28
57.23,60.23,56.95,59.5,6314380,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-10-29
58.74,59.28,58.26,59.23,7338657,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-10-30
59.95,60.48,59.53,60.33,7475407,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-02
60.99,62.44,60.99,61.83,9967589,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-03
63.44,65.19,62.13,64.86,9808323,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-04
66.0,70.06,65.91,69.95,13118074,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-05
68.9,70.86,68.35,70.53,8639662,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-06
73.2,75.93,71.26,71.3,10154563,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-09
70.95,71.49,69.1,69.39,8206498,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-10
70.2,71.7,69.88,71.16,8071944,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-11
70.86,71.15,69.43,69.8,8555129,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-12
72.27,73.94,71.5,72.81,10182304,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-13
72.97,74.53,72.58,74.48,8104390,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-16
73.76,74.57,73.06,74.37,5460128,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-17
74.69,76.67,74.59,75.71,10667679,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-18
75.26,77.51,74.51,77.25,8990081,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-19
77.2,78.57,76.68,76.72,7609745,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-20
76.97,80.58,76.97,80.5,8809829,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-23
81.0,83.14,79.82,82.95,9542024,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-24
82.9,83.02,81.07,81.14,5518508,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-25
81.81,83.53,81.68,82.66,3098229,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-27
82.0,82.59,80.71,82.48,7543095,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-11-30
83.05,84.62,82.88,84.27,7044074,0.0,0.0,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,2020-12-01
