Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
54.68,55.58,54.68,55.23,2332600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-03
55.54,55.78,54.5,55.21,1320800,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-04
54.92,55.34,54.17,54.4,1192400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-05
54.22,54.54,53.14,54.37,1328700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-06
53.95,54.18,53.28,53.68,1416400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-09
53.99,54.45,53.89,54.15,1355000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-10
54.51,54.57,53.44,53.73,1428100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-11
53.81,54.1,50.29,50.68,2367700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-12
50.62,51.27,50.51,51.14,1560600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-13
51.64,52.84,51.15,52.49,1871700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-16
52.14,53.29,52.02,53.26,1839600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-17
53.36,53.99,53.32,53.34,1870400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-18
53.41,53.91,52.87,53.31,1280300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-19
53.76,54.03,52.86,52.89,1228000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-20
52.59,53.35,52.27,52.78,1387800,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-23
53.14,54.32,53.14,53.89,1542000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-24
53.73,54.1,53.24,53.52,1143100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-25
53.95,54.45,53.47,53.51,1372100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-26
53.66,53.72,52.47,52.63,1355000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-27
53.18,53.46,52.53,52.82,1216300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-30
53.13,53.81,52.83,53.7,3288700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-10-31
53.76,54.0,53.17,53.71,1213400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-01
54.27,55.51,54.21,55.31,1390500,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-02
56.06,57.38,55.67,56.95,1647500,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-03
56.96,57.33,56.37,56.39,1429700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-06
56.4,56.9,56.31,56.51,1016900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-07
56.48,56.88,55.75,56.15,888000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-08
56.47,56.5,55.79,55.83,1093300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-09
54.03,54.92,53.58,54.53,1793000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-10
54.72,55.53,54.72,55.04,1528300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-13
56.02,56.76,55.96,56.51,1719900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-14
56.71,56.96,56.32,56.63,1233500,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-15
56.22,56.5,55.03,55.17,1873000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-16
55.78,56.06,54.94,55.95,3361200,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-17
55.83,56.91,55.48,56.44,1791200,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-20
56.16,56.7,55.55,56.03,1877000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-21
56.49,57.03,56.24,56.95,896000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-22
56.57,57.27,56.57,57.14,585700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-24
56.65,56.77,56.34,56.54,1279600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-27
56.64,57.16,56.49,56.67,1206600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-28
56.54,56.95,55.58,55.68,1116500,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-29
55.74,56.4,55.5,56.38,2725000,0.22,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-11-30
56.28,57.54,56.2,57.53,1731100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-01
57.19,58.22,56.92,57.96,1426400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-04
57.94,58.36,57.69,57.81,1604000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-05
54.49,54.71,51.12,51.81,4763500,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-06
51.96,52.91,51.79,52.33,2513100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-07
52.11,53.15,52.03,52.87,1511600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-08
52.75,54.18,52.68,54.18,1562200,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-11
54.27,54.85,53.75,54.66,1486000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-12
54.35,54.82,53.13,54.82,2716000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-13
55.02,56.32,54.95,56.08,1998400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-14
54.88,55.97,54.88,55.03,3418900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-15
55.41,56.18,55.06,55.85,1798300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-18
56.12,56.78,55.85,56.72,1578400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-19
56.86,56.86,54.51,54.71,1702300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-20
55.16,55.62,54.43,55.23,1254400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-21
55.43,55.75,54.83,55.41,1069100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-22
55.32,55.52,54.9,55.38,1001100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-26
55.3,55.41,54.71,54.99,1713400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-27
54.81,55.37,54.77,55.05,2591400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-28
54.9,55.23,54.67,54.81,1091700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2023-12-29
54.66,55.35,54.3,54.57,1579300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-02
54.25,54.41,53.1,53.53,1482600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-03
53.74,54.08,53.48,53.6,1166100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-04
53.29,53.7,52.45,52.88,1123600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-05
53.16,53.46,52.86,53.46,1278700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-08
52.88,53.33,52.55,53.33,1272600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-09
53.33,53.6,52.8,53.36,1269600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-10
53.19,53.36,52.16,53.28,1656700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-11
53.57,53.96,53.19,53.54,1296200,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-12
53.25,53.32,51.94,52.37,1511900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-16
51.98,52.21,51.51,51.86,1530900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-17
51.77,52.41,51.53,52.35,1286600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-18
52.43,52.72,51.65,52.41,1393100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-19
52.35,52.61,51.65,51.82,1216800,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-22
52.07,53.03,51.94,52.83,1277900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-23
53.0,53.2,52.34,52.37,2314900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-24
52.73,53.47,52.4,53.47,1845000,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-25
55.24,55.33,54.3,54.42,2077900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-26
53.75,54.42,52.71,54.21,1467500,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-29
53.83,54.36,53.53,53.86,1708300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-30
53.87,54.01,52.31,52.7,3067200,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-01-31
52.69,54.89,52.51,54.74,1783500,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-01
54.38,54.81,53.8,54.52,1067400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-02
54.37,54.37,53.32,54.17,2893400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-05
54.09,54.79,53.94,54.63,1343300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-06
54.84,54.95,54.23,54.84,1206300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-07
54.76,55.15,54.33,54.65,1111700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-08
54.57,54.62,54.06,54.3,870300,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-09
54.39,55.64,54.38,55.46,929100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-12
54.71,55.13,53.96,54.42,1191600,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-13
54.42,55.09,54.13,55.05,861900,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-14
55.44,55.94,55.13,55.68,771700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-15
55.54,56.05,55.28,55.55,1181100,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-16
55.5,56.48,55.3,56.16,1152700,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-20
56.31,56.72,55.85,56.22,920400,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-21
56.33,56.34,55.3,55.5,1325500,0.0,0.0,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,2024-02-22
