Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
55.6,56.06,54.91,55.69,1155338,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-10-26
55.65,56.12,54.68,55.69,1532791,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-10-27
58.0,60.5,57.05,58.06,4185281,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-10-28
58.31,58.73,57.18,58.29,2245850,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-10-29
57.58,57.91,55.91,56.73,2035729,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-10-30
57.43,58.5,56.88,58.07,1593816,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-02
58.36,58.66,56.12,56.48,1484131,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-03
56.26,56.7,54.0,55.96,1615458,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-04
56.04,58.81,56.04,58.5,1307886,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-05
58.83,58.88,57.23,57.51,1263164,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-06
59.0,59.5,56.8,56.85,1927011,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-09
57.21,58.94,56.5,58.81,1341125,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-10
59.0,59.68,57.43,58.9,1085461,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-11
58.93,58.93,57.4,57.99,937917,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-12
58.27,59.53,58.18,59.17,845234,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-13
59.92,61.08,58.65,60.69,1416341,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-16
59.33,59.93,58.59,59.38,1180460,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-17
59.5,60.64,58.28,58.38,1205820,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-18
58.14,58.66,57.36,58.53,1112736,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-19
58.49,58.97,58.1,58.74,720235,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-20
59.29,60.45,58.84,59.93,1239926,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-23
60.67,62.73,60.05,62.65,2158819,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-24
62.2,62.49,60.68,61.83,1415883,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-25
61.6,62.12,60.52,60.84,405552,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-27
60.48,60.99,58.81,58.89,1883655,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-11-30
59.97,60.63,58.81,59.47,1317299,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-12-01
59.17,59.6,58.76,59.31,676074,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-12-02
60.0,61.22,59.71,60.78,951806,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-12-03
61.04,61.78,61.0,61.47,1086358,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-12-04
61.54,61.66,60.31,60.78,912732,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-12-07
60.76,62.03,60.27,61.35,1211936,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-12-08
62.02,63.61,61.23,63.5,2097465,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-12-09
63.77,64.64,62.84,64.5,2065144,0.0,0.0,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2020-12-10
