Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
59.82,60.14,59.04,59.67,7572049,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-10-26
59.26,59.84,58.56,58.74,10115392,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-10-27
58.0,58.54,57.4,57.76,12038742,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-10-28
57.81,58.43,56.75,57.92,8950608,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-10-29
57.71,58.48,57.59,58.45,11218769,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-10-30
59.19,59.64,58.84,59.49,10516790,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-02
61.01,62.24,60.21,61.24,14398287,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-03
63.96,66.23,63.75,65.43,25159429,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-04
64.99,65.38,63.54,63.75,17981251,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-05
63.61,64.92,63.38,63.8,9852221,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-06
65.12,66.08,63.99,64.08,15836411,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-09
64.21,64.8,63.71,64.52,11316236,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-10
65.07,65.12,63.02,63.42,8394179,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-11
63.14,63.14,62.2,62.75,7696061,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-12
62.79,64.04,62.77,63.62,9507280,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-13
64.12,64.93,63.84,64.5,7337275,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-16
64.47,64.7,63.88,64.32,8762852,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-17
64.67,64.7,62.0,62.01,12657269,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-18
62.2,62.4,61.15,62.09,9227737,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-19
61.85,62.33,61.4,61.61,8650978,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-20
61.74,62.01,61.08,61.92,9754443,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-23
61.95,63.51,61.88,63.22,13652068,0.0,0.0,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,2020-11-24
