Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
347.39,348.24,342.13,343.04,3151700,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-03
342.92,344.01,339.51,343.69,3244600,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-04
343.7,345.94,342.37,345.06,3027300,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-05
344.1,348.76,341.86,346.34,3174700,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-06
344.24,345.9,342.83,345.45,2762800,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-09
347.0,349.51,345.5,348.56,2858600,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-10
349.38,349.6,344.92,348.43,2620800,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-11
348.21,348.66,343.02,345.66,2677500,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-12
346.0,348.44,343.88,345.09,2804800,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-13
348.0,349.94,345.83,346.23,3117800,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-16
346.18,348.41,344.15,345.39,2998600,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-17
344.72,344.83,339.96,340.89,2977100,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-18
340.31,342.69,338.45,338.66,2741300,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-19
338.15,340.0,334.35,335.86,3466100,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-20
334.07,338.88,333.49,336.84,2794200,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-23
338.18,339.85,337.77,338.63,2355700,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-24
338.59,339.62,336.55,336.9,2623200,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-25
337.07,338.32,335.46,336.16,2685400,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-26
336.12,336.19,330.58,331.71,3608200,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-27
332.96,338.36,332.18,337.41,2634700,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-30
337.95,341.49,337.5,341.33,3066900,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-10-31
341.21,345.33,340.58,343.75,2789700,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-11-01
346.39,349.39,344.5,349.02,3433700,0.0,0.0,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2023-11-02
