Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
48.88,49.13,47.69,48.03,1659300,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-10-26
47.85,48.39,47.47,47.48,1495100,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-10-27
46.55,47.01,45.88,45.96,1717914,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-10-28
45.83,46.15,44.92,45.61,1911857,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-10-29
45.49,46.26,45.15,45.79,4188846,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-10-30
46.8,47.84,46.26,47.52,2543283,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-02
48.53,49.4,48.44,48.79,2213494,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-03
50.0,50.84,49.3,49.44,2938259,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-04
51.51,54.28,51.5,53.06,4487473,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-05
53.23,53.55,52.24,52.64,2295349,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-06
55.5,56.3,54.03,55.41,3094357,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-09
55.6,57.83,55.21,57.37,3585151,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-10
57.54,57.68,55.88,56.23,1924852,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-11
55.64,56.49,55.2,56.0,1633775,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-12
56.36,57.59,55.99,57.43,1453418,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-13
58.5,59.19,58.02,58.47,2209564,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-16
55.0,55.34,53.2,54.68,3811626,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-17
55.11,55.95,53.19,53.32,2520675,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-18
52.98,52.98,51.51,52.29,2860573,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-19
52.08,52.55,51.27,51.86,2494944,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-20
52.35,52.75,51.7,52.29,2012926,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-23
52.89,54.13,52.4,53.97,2312745,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-24
54.03,54.13,53.2,53.77,1927848,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-25
53.59,54.25,53.48,53.78,788108,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-27
53.9,54.8,53.5,54.59,5402511,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-11-30
55.4,55.44,53.86,54.03,2261927,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-01
53.87,55.86,53.8,55.65,3032056,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-02
55.72,56.18,54.9,55.43,3365266,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-03
55.72,56.99,55.07,56.99,2240673,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-04
56.63,56.63,55.06,55.4,2798311,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-07
55.29,56.63,55.14,56.47,1525428,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-08
56.46,56.69,55.42,56.15,1269086,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-09
55.71,56.05,55.23,55.45,1671879,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-10
55.09,55.13,53.93,54.28,2281499,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-11
54.91,55.02,53.36,53.55,1968006,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-14
54.05,55.22,54.0,54.92,1514069,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-15
54.71,54.86,54.12,54.24,1154290,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-16
54.61,54.66,53.66,54.22,3121048,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-17
54.18,55.02,53.82,54.96,3124043,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-18
54.0,54.44,53.3,54.02,1768080,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-21
54.1,54.42,53.55,53.63,1190776,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-22
53.77,54.29,53.64,53.86,938441,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-23
53.93,54.07,53.31,53.8,349623,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-24
54.09,54.43,53.31,53.66,987268,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-28
53.88,54.09,53.14,53.5,935758,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-29
53.57,53.84,53.12,53.49,1135145,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-30
52.95,53.63,52.64,53.56,1270188,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2020-12-31
53.88,54.04,52.11,52.93,2885044,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-04
53.07,53.65,51.93,53.12,1862062,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-05
53.39,55.2,53.23,55.06,2791024,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-06
55.21,56.56,55.06,56.31,3370629,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-07
56.65,56.99,55.55,55.91,2157468,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-08
55.6,56.33,55.47,55.74,1292634,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-11
55.9,56.24,55.47,55.99,1293035,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-12
55.91,56.24,55.39,55.4,1013468,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-13
55.34,55.91,54.76,55.39,1704348,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-14
55.33,55.58,54.2,55.44,1373960,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-15
55.63,55.73,54.54,54.81,1712638,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-19
54.82,55.03,54.19,54.59,1624592,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-20
54.45,55.31,53.15,55.07,2027341,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-21
54.88,55.73,54.7,55.39,1345589,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-22
54.94,55.3,54.38,55.03,1456569,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-25
55.15,55.84,54.94,55.48,916565,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-26
54.98,55.62,54.71,55.29,2768163,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-27
55.45,56.32,55.25,55.57,1876727,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-28
55.63,55.81,53.22,53.73,2638848,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-01-29
53.93,54.88,53.82,54.48,1615417,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-01
55.8,56.27,54.47,54.54,1603799,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-02
54.19,54.57,53.71,54.4,1330580,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-03
54.71,56.47,54.36,55.98,2842363,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-04
55.2,55.75,53.01,54.26,3078944,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-05
54.35,54.5,51.81,52.91,4053952,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-08
53.15,53.48,52.24,52.95,2246233,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-09
53.2,53.51,52.83,53.06,1823804,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-10
53.12,53.18,51.85,52.41,1771437,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-11
52.0,52.41,51.54,51.86,2011896,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-12
52.13,52.19,51.46,51.75,2075019,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-16
51.5,52.11,50.78,51.72,2180255,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-17
51.5,51.67,51.1,51.37,2077128,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-18
51.34,52.13,51.27,52.0,2431649,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-19
52.02,52.34,51.53,52.13,1770308,0.0,0.0,CAH,Cardinal Health,Health Care,Health Care Distributors,2021-02-22
