Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
27.25,27.25,26.44,26.83,2020148,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-10-26
26.7,26.96,26.1,26.16,3061234,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-10-27
25.48,26.22,25.3,25.71,2853558,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-10-28
25.5,26.9,25.49,26.78,2521600,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-10-29
26.68,27.63,26.42,27.61,3032084,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-10-30
28.01,28.29,27.64,28.07,2710846,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-02
27.97,28.03,26.68,27.02,3211506,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-03
27.18,27.24,26.05,26.66,1975877,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-04
25.96,28.02,25.96,27.34,3837802,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-05
27.36,28.29,27.06,27.33,2989095,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-06
29.12,30.51,28.37,28.96,4000203,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-09
29.33,30.36,28.88,30.11,3759248,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-10
30.4,31.5,30.36,30.55,4007531,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-11
30.17,30.49,29.73,30.14,2677348,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-12
30.21,30.94,30.21,30.89,2742352,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-13
31.8,32.54,31.15,32.4,4357902,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-16
32.11,32.59,31.72,32.22,3028764,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-17
32.5,33.28,32.28,32.45,3280262,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-18
32.5,32.7,31.89,32.15,2765436,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-19
32.32,33.67,32.22,33.5,2990807,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-20
34.03,36.09,34.03,35.82,4668894,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-23
36.23,38.77,36.23,38.65,6366933,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-24
38.24,38.7,37.32,38.17,3479932,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-25
38.56,39.41,38.28,38.77,2427034,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-27
38.39,38.44,37.08,37.3,3350982,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-11-30
37.9,38.15,37.38,37.5,2441153,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-01
37.33,38.25,37.25,37.85,2815554,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-02
38.08,38.66,37.82,38.13,2281687,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-03
38.39,39.9,38.2,39.57,2883504,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-04
39.26,39.37,38.0,38.27,1995657,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-07
37.95,38.71,37.9,38.52,1634975,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-08
38.91,39.42,38.55,39.06,1792029,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-09
38.59,39.34,38.55,39.11,1810921,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-10
38.66,39.46,38.62,39.37,1706129,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-11
39.66,40.06,38.78,38.82,2508110,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-14
39.4,39.41,38.02,38.35,2571513,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-15
38.55,38.55,37.07,37.78,2190277,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-16
38.12,38.16,37.44,37.54,1873898,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-17
37.49,37.72,36.97,37.64,4562610,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-18
36.89,37.65,36.66,37.54,1709834,0.0,0.0,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2020-12-21
