Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
588.79,595.83,581.42,582.13,1119575,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-10-26
585.0,590.3,580.5,583.65,897341,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-10-27
574.97,585.41,572.46,572.58,983061,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-10-28
573.33,583.05,573.1,576.0,1420483,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-10-29
580.55,610.66,580.55,603.82,2456342,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-10-30
605.1,610.36,578.76,588.43,1268368,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-02
596.0,602.59,591.73,591.99,1172910,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-03
610.9,645.7,608.27,634.47,1940441,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-04
643.05,650.43,638.11,647.36,1007738,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-05
647.68,649.92,640.45,644.49,692993,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-06
659.79,659.79,612.68,613.2,1632778,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-09
603.45,631.64,603.45,626.88,1054661,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-10
628.8,640.52,628.8,636.92,709293,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-11
639.33,645.06,635.4,637.96,650047,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-12
638.23,648.82,638.11,647.19,757477,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-13
642.84,647.51,639.95,641.41,1066334,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-16
637.32,643.57,632.53,641.51,621495,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-17
645.14,651.17,635.52,642.44,1655389,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-18
639.86,655.73,636.69,650.54,1288487,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-19
651.31,663.07,647.5,655.41,1163745,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-20
657.87,659.56,642.7,645.04,1518485,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-23
641.7,654.79,633.66,650.44,1074566,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-24
652.26,653.51,644.87,651.4,681067,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-25
647.59,650.88,642.05,642.8,569393,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-27
646.22,655.34,643.04,651.99,1178725,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-11-30
656.7,666.59,652.8,662.25,1177077,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-01
659.79,669.9,659.14,667.17,820628,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-02
666.66,675.74,656.56,670.43,822192,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-03
670.58,674.05,667.08,670.74,685901,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-04
667.36,680.76,666.98,680.76,881004,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-07
676.48,681.71,661.81,663.37,1020907,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-08
660.45,665.96,643.53,644.08,1813079,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-09
644.56,659.58,642.79,658.04,880070,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-10
654.06,655.98,648.02,651.76,988967,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-11
654.77,656.24,649.11,649.67,1284618,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-14
653.08,656.5,646.07,646.28,1034695,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-15
646.28,649.64,634.47,642.43,1283866,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-16
645.11,657.57,644.95,653.98,1154688,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-17
656.94,658.35,646.52,652.0,2253862,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-18
645.26,658.38,641.79,654.69,893309,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-21
654.02,654.79,638.76,641.1,1269826,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-22
642.87,652.58,640.03,647.44,1590762,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-23
646.6,657.33,646.6,656.49,1127336,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-24
661.38,661.38,649.44,651.9,774809,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-28
654.3,666.37,651.25,664.98,1301047,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-29
667.01,668.0,652.29,653.49,865401,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-30
653.44,664.78,652.86,661.55,699526,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2020-12-31
666.59,666.59,637.0,647.03,1185185,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-04
646.13,649.0,632.95,636.59,842637,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-05
612.16,634.81,612.16,624.51,1491407,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-06
627.73,638.25,622.0,629.77,1259464,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-07
624.39,634.79,624.39,634.38,1051118,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-08
636.9,642.75,632.97,641.13,1082778,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-11
636.12,639.77,618.49,621.49,1695562,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-12
619.07,623.04,614.87,618.01,1090317,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-13
616.48,630.41,610.88,623.09,1484544,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-14
620.25,634.08,617.02,628.91,1150385,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-15
628.11,633.95,623.37,633.27,1052015,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-19
633.39,648.31,631.96,642.82,943401,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-20
643.33,651.89,639.79,650.43,768682,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-21
649.45,651.89,642.77,646.69,699145,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-22
649.64,660.3,647.84,652.17,888412,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-25
651.63,654.76,647.02,649.54,893516,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-26
643.93,651.92,615.11,615.78,1919738,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-27
638.1,671.0,635.08,654.65,1773934,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-28
626.01,636.02,604.09,607.56,2393721,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-01-29
611.01,614.13,593.1,599.02,1465636,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-01
597.69,625.31,595.91,616.7,1531164,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-02
616.65,617.03,603.32,609.26,929913,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-03
604.98,621.29,604.98,619.79,840676,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-04
621.03,628.3,615.12,617.65,799793,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-05
616.63,619.69,610.87,615.53,957844,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-08
616.34,626.63,613.8,619.51,836441,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-09
623.36,623.36,608.11,611.63,1036500,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-10
614.2,619.16,603.53,618.68,829195,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-11
615.93,619.55,610.65,613.45,623875,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-12
609.19,619.02,606.25,618.47,909589,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-16
615.7,626.95,614.44,624.12,929698,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-17
625.06,625.06,612.71,616.42,760946,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-18
613.43,619.53,606.54,607.29,1193112,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-19
602.3,609.88,595.0,596.5,1744449,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-22
602.8,609.27,585.45,602.77,1852094,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-23
590.44,614.73,590.44,608.51,1201078,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-24
605.82,618.12,598.97,601.55,1358947,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-25
602.49,627.38,601.5,613.42,1619427,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-02-26
618.39,624.07,610.01,619.68,895343,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-03-01
622.41,624.5,611.25,616.07,984825,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-03-02
612.0,613.72,599.9,601.02,1785486,0.0,0.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,2021-03-03
