Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
162.13,163.06,157.9,160.16,1342060,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-10-26
160.24,161.44,159.35,159.47,1565838,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-10-27
155.18,156.0,147.53,149.56,3241809,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-10-28
149.24,152.58,146.89,149.99,2348095,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-10-29
149.15,150.87,147.8,150.72,1947888,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-10-30
153.0,154.78,150.84,152.28,2100671,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-02
154.81,156.21,153.22,153.48,1770506,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-03
154.37,156.28,150.32,150.5,2485987,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-04
152.05,152.61,150.0,150.45,2023652,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-05
151.81,151.83,149.3,150.59,1566148,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-06
160.84,166.39,160.24,162.41,4198359,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-09
162.03,168.87,161.11,168.71,3366032,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-10
169.37,170.27,165.17,165.81,1952056,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-11
164.35,165.2,159.46,161.01,1500088,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-12
161.95,167.08,161.71,165.96,1548834,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-13
168.53,169.34,166.12,168.77,1660281,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-16
166.64,168.48,165.45,168.07,1372559,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-17
168.35,169.64,165.64,165.78,1225403,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-18
165.32,166.68,163.52,165.93,972839,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-19
166.45,168.34,164.98,167.47,1282776,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-20
168.72,171.03,167.72,168.78,1752702,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-23
170.26,174.14,169.91,173.18,2074245,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-24
173.18,174.9,170.68,174.79,1827985,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-25
174.54,176.12,173.69,174.77,920999,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-27
173.55,175.14,172.95,175.03,1925468,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-11-30
177.03,180.33,175.91,179.16,2626895,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-01
178.92,182.95,178.88,181.88,1673761,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-02
181.33,182.86,179.37,181.71,1449830,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-03
182.34,185.11,181.72,184.03,1323190,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-04
180.53,183.66,180.09,183.18,1210984,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-07
182.11,184.29,179.46,183.38,1545759,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-08
184.3,184.5,180.94,182.38,1406984,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-09
181.44,183.77,181.17,182.48,1831127,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-10
181.34,184.34,179.77,180.27,2010585,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-11
181.71,182.28,177.54,177.55,1382247,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-14
178.54,181.4,177.76,181.39,1440825,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-15
181.44,183.23,181.0,181.72,1223639,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-16
183.08,185.26,182.2,184.94,1954227,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-17
185.21,187.0,181.87,183.98,3581305,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-18
181.57,182.88,179.66,181.77,1831183,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-21
181.84,182.99,180.61,181.0,1001913,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-22
181.45,183.3,180.2,180.34,1290016,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-23
177.83,178.85,177.15,178.48,466097,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-24
179.15,181.07,178.71,180.39,951647,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-28
181.14,181.48,178.69,178.86,872086,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-29
179.85,180.18,177.77,178.0,813394,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-30
178.56,182.22,178.11,182.05,1400106,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2020-12-31
183.1,183.17,177.68,179.3,1437733,0.0,0.0,CME,CME Group,Financials,Financial Exchanges & Data,2021-01-04
