Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
88.03,88.06,86.32,87.04,778268,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-10-26
87.27,87.98,86.3,86.59,621868,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-10-27
85.24,85.24,83.2,83.39,822424,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-10-28
83.1,83.1,81.0,81.04,1118408,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-10-29
80.99,81.84,78.57,79.76,1417636,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-10-30
80.96,82.27,79.88,80.13,1061520,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-02
81.35,83.02,80.96,80.99,640904,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-03
82.18,84.01,81.32,82.86,825856,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-04
83.76,84.42,82.92,83.0,727888,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-05
83.37,84.22,83.35,83.48,461828,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-06
86.18,92.9,86.18,87.94,1688268,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-09
87.8,88.14,85.36,86.6,1052716,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-10
87.09,87.37,85.16,85.82,992252,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-11
85.57,85.82,83.15,84.25,1022696,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-12
84.66,85.6,84.66,85.34,834060,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-13
86.41,86.87,84.67,85.18,756068,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-16
84.56,84.56,82.93,83.11,913448,0.0,0.0,COO,Cooper Companies (The),Health Care,Health Care Supplies,2020-11-17
