Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
48.47,48.56,47.72,48.29,2036629,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-26
48.24,48.98,47.97,48.24,1685920,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-27
47.9,48.24,47.02,47.07,1929128,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-28
47.1,47.4,46.46,46.77,2007081,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-29
46.74,47.21,46.35,46.67,1469874,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-30
47.09,47.72,47.06,47.68,2369147,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-02
47.88,48.7,47.62,47.89,1107371,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-03
48.17,48.58,47.55,47.69,1168992,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-04
48.15,48.39,47.7,48.06,1405623,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-05
48.07,48.73,47.72,47.99,1114022,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-06
47.64,48.08,46.1,46.12,3786906,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-09
46.12,47.29,45.51,47.29,2269598,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-10
47.52,48.36,47.5,48.29,1898500,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-11
48.41,48.57,47.81,48.53,1186591,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-12
48.66,49.32,48.44,49.19,1518479,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-13
48.97,49.97,48.82,49.9,2694997,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-16
49.51,49.89,49.12,49.38,1856201,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-17
49.49,49.95,49.01,49.04,2557393,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-18
48.87,49.34,48.55,49.32,985875,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-19
49.42,49.77,48.72,48.98,1455405,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-20
48.87,49.43,48.72,49.11,1719584,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-23
49.36,49.57,49.06,49.37,1718077,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-24
49.68,49.85,48.84,48.92,1478873,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-25
49.19,49.41,48.7,48.98,434114,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-27
49.02,50.04,48.79,50.02,2469333,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-30
49.98,50.33,49.7,50.25,1921711,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-01
50.3,50.77,48.46,49.07,2338487,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-02
49.01,49.41,48.51,48.74,1808792,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-03
48.62,48.87,48.46,48.5,1649908,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-04
48.65,48.8,48.13,48.31,2697121,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-07
48.39,48.54,47.59,48.26,2966324,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-08
47.88,48.16,46.62,47.28,5783251,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-09
47.21,47.58,46.88,47.31,2845974,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-10
47.19,47.5,47.01,47.21,2162465,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-11
47.33,47.79,46.62,46.71,2275624,0.0,0.0,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-14
