Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
245.3,248.11,237.38,241.98,5964852,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-10-26
248.0,251.75,245.76,250.3,4388503,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-10-27
244.6,245.45,238.01,238.43,4492749,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-10-28
242.52,242.52,237.13,237.14,4657777,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-10-29
235.82,237.75,228.66,232.27,5818476,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-10-30
235.12,238.5,228.99,232.45,4025641,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-02
235.1,240.94,233.28,237.13,4207772,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-03
246.02,252.88,243.24,250.74,6613114,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-04
258.11,260.92,255.44,260.22,9058486,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-05
260.0,261.75,254.49,260.15,3878907,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-06
260.95,270.92,257.25,259.28,8962344,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-09
258.06,259.0,242.9,247.66,6937732,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-10
253.51,256.74,251.21,254.18,4253181,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-11
247.4,254.97,246.36,249.42,5729668,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-12
252.84,253.79,247.56,249.51,5205575,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-13
249.52,253.49,248.18,249.89,5823453,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-16
253.74,258.27,250.46,256.17,5216842,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-17
256.4,262.66,255.85,257.16,5982650,0.0,0.0,CRM,Salesforce,Information Technology,Application Software,2020-11-18
