Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
26.78,26.8,26.11,26.29,9995295,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-10-26
26.33,26.49,25.87,26.03,16386210,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-10-27
25.49,25.85,25.25,25.31,18601887,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-10-28
25.22,26.31,25.13,25.96,16518510,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-10-29
25.88,26.34,25.83,26.31,17652351,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-10-30
26.78,27.37,26.42,27.25,17485434,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-02
27.54,28.26,27.41,28.07,16795311,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-03
28.49,29.18,28.19,28.28,19347381,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-04
28.5,29.3,28.33,29.01,18311916,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-05
29.06,29.23,28.54,28.73,8671653,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-06
30.12,31.24,29.34,29.4,17890569,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-09
29.25,30.63,29.06,30.47,21492156,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-10
30.53,30.63,29.77,30.01,13179024,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-11
29.83,30.18,29.64,29.91,12211845,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-12
30.04,30.55,29.91,30.2,10204557,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-13
30.74,31.03,30.43,31.0,10768494,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-16
30.61,30.97,30.48,30.83,7368453,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-17
30.95,31.21,30.43,30.44,7898556,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-18
30.28,30.62,30.06,30.57,8326890,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-19
30.51,30.76,30.31,30.51,6396198,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-20
30.65,30.89,30.42,30.69,9232659,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-23
31.15,31.15,30.74,30.97,23318457,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-24
31.0,31.04,30.52,30.75,7125666,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-25
30.83,30.91,30.38,30.43,4140720,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-27
30.36,30.61,29.99,30.02,19928457,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-11-30
30.31,30.69,30.12,30.21,14906607,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-01
30.01,30.45,30.01,30.23,15218733,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-02
30.33,30.53,29.99,30.14,15362859,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-03
30.21,30.66,30.15,30.62,14024541,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-04
30.48,30.77,30.37,30.68,13370073,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-07
30.38,30.7,30.33,30.5,11121363,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-08
30.56,30.76,30.4,30.58,8512413,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-09
29.85,30.18,29.85,30.0,13001559,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-10
29.74,30.23,29.67,30.14,10037943,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-11
30.4,30.44,29.63,29.64,7836990,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-14
29.96,30.17,29.61,30.07,11944974,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-15
30.02,30.12,29.66,29.7,9122463,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-16
29.78,30.32,29.78,30.18,8842299,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-17
30.16,30.33,29.82,30.22,16906299,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-18
29.59,30.12,29.52,29.9,8289288,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-21
29.75,30.06,29.7,29.85,14629239,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-22
29.96,30.17,29.74,29.89,12081999,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-23
29.93,30.07,29.72,30.02,2629167,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-24
30.19,30.42,30.12,30.21,5016312,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-28
30.32,30.41,29.56,29.78,8220531,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-29
29.9,30.16,29.83,30.11,5934996,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-30
29.99,30.3,29.89,30.25,9063654,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2020-12-31
30.22,30.34,29.13,29.33,15560823,0.0,0.0,CSX,CSX Corporation,Industrials,Rail Transportation,2021-01-04
