Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
32.83,33.0,32.2,32.71,2745358,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-10-26
32.78,32.84,32.33,32.34,2291933,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-10-27
31.46,32.12,31.16,31.86,4034409,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-10-28
31.6,32.68,31.54,32.5,3968718,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-10-29
32.39,32.98,32.11,32.98,4349773,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-10-30
33.28,33.84,33.1,33.48,3768985,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-02
33.4,33.55,32.53,32.93,3675191,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-03
32.96,33.38,32.11,32.78,3867494,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-04
33.15,34.45,33.09,33.94,3914337,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-05
34.19,34.39,33.62,33.7,2618511,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-06
34.99,36.28,34.6,34.64,4787979,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-09
34.75,36.39,34.75,36.23,6770761,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-10
36.37,36.9,36.15,36.63,4565627,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-11
36.34,36.34,34.86,35.06,3783831,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-12
35.13,36.22,35.13,36.01,3387247,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-13
36.9,37.57,36.34,37.43,3579540,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-16
37.01,37.3,36.56,37.02,3759543,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-17
37.24,37.54,36.69,36.69,2357505,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-18
36.64,37.31,36.39,36.96,3342648,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-19
36.94,37.27,36.85,37.16,2634996,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-20
37.53,38.3,37.52,37.79,2751513,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-23
38.16,39.01,37.91,38.9,4483409,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-24
38.78,38.89,38.33,38.58,2770006,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-25
38.54,38.97,38.32,38.41,1368518,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-27
38.41,38.59,37.74,38.32,4891050,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-11-30
38.7,39.44,38.24,38.31,3393187,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-01
38.13,38.67,37.91,38.27,3532018,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-02
38.16,38.62,37.86,38.21,2907515,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-03
38.39,38.82,38.25,38.65,3684311,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-04
38.49,38.78,37.84,37.94,3045913,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-07
37.76,38.46,37.61,38.42,4222103,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-08
38.47,39.37,38.46,39.01,3331305,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-09
38.67,39.23,38.49,38.74,3155994,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-10
38.31,38.7,38.06,38.39,3170691,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-11
40.0,40.23,38.72,38.76,3725687,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-14
39.24,39.32,38.24,39.22,3816518,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-15
39.3,39.3,38.62,39.08,3207572,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-16
39.33,39.7,39.21,39.68,4347690,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-17
39.42,39.68,38.83,39.41,9877386,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-18
38.66,39.62,38.32,39.55,2938766,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-21
39.61,39.72,38.95,38.98,2735550,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-22
39.11,39.54,39.11,39.18,2356179,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-23
39.03,39.55,39.03,39.5,847621,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-24
39.37,39.57,38.32,38.35,2587642,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-28
38.67,38.92,37.67,37.94,3206496,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-29
38.19,38.69,38.01,38.44,3419044,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-30
38.66,38.97,38.29,38.72,2341358,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2020-12-31
38.87,39.2,38.09,38.35,3762431,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2021-01-04
38.28,39.05,38.22,38.82,2669224,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2021-01-05
39.32,41.51,38.99,41.07,5032738,0.0,0.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2021-01-06
