Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
42.5,43.66,42.18,43.63,2111028,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-10-26
43.65,43.98,42.95,43.67,2706588,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-10-27
42.67,43.06,41.14,41.7,2201286,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-10-28
41.56,43.15,41.45,42.96,2793252,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-10-29
43.64,43.7,41.14,42.23,3895800,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-10-30
42.26,42.78,41.84,42.48,2311422,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-02
43.14,43.14,41.44,41.93,2463966,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-03
41.8,43.54,41.69,43.51,1998486,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-04
43.81,46.8,43.75,46.43,3756714,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-05
46.7,46.7,44.91,45.05,2928330,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-06
47.09,47.55,42.34,42.46,3960540,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-09
42.62,42.92,40.14,41.92,4072848,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-10
42.19,43.48,41.73,42.27,1955076,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-11
42.24,42.58,40.66,41.38,2813268,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-12
41.87,42.46,41.38,41.85,2149674,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-13
42.17,42.24,40.4,41.64,3724500,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-16
41.76,42.76,41.27,42.39,1739226,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-17
42.4,43.04,41.84,41.99,1688472,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-18
42.04,42.21,40.95,41.45,1896738,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-19
41.28,41.46,40.21,41.2,2217768,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-20
41.61,43.13,41.29,42.9,2322366,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-23
43.39,43.97,42.83,43.25,1704906,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-24
43.38,44.57,42.77,44.08,1566054,0.0,0.0,DECK,Deckers Brands,Consumer Discretionary,Footwear,2020-11-25
