Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
231.42,235.12,231.21,234.91,2411268,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-10-26
235.83,240.51,235.83,239.78,3300718,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-10-27
237.0,238.67,231.13,232.1,2897843,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-10-28
232.28,233.4,228.33,230.07,2240203,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-10-29
229.0,230.86,225.4,229.54,2623424,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-10-30
232.38,235.23,229.84,232.44,2546137,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-02
235.12,236.68,232.84,234.76,1689482,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-03
239.46,245.49,238.6,240.52,3064687,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-04
247.04,247.04,239.74,240.34,3426974,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-05
242.48,247.75,239.77,245.46,2384292,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-06
245.7,248.32,233.46,233.78,4018230,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-09
233.17,234.25,224.81,225.88,6291652,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-10
227.97,234.89,226.14,233.14,3969677,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-11
233.01,235.49,231.55,232.99,2361831,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-12
235.0,236.28,233.9,234.68,2533314,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-13
236.34,236.34,228.82,229.65,2199945,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-16
228.63,232.07,227.77,229.35,2443475,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-17
229.73,230.37,223.12,224.7,2911798,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-18
224.13,227.21,221.22,225.83,2823804,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-19
225.67,227.54,224.12,225.76,2452146,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-20
227.0,227.81,218.77,221.08,2823742,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-23
222.35,222.4,216.71,218.26,4003310,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-24
214.64,217.38,212.42,217.22,3276047,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-25
218.2,218.54,215.01,216.78,1407208,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-27
219.51,224.81,219.01,224.63,3376584,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-11-30
226.01,228.0,223.0,225.0,3958869,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-01
225.1,226.02,223.24,224.8,2170703,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-02
224.62,226.21,222.45,223.34,3233380,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-03
222.26,224.69,219.82,224.43,2570235,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-04
225.41,228.0,225.03,226.15,1873416,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-07
225.3,226.89,223.25,223.5,2090353,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-08
223.52,224.31,221.02,222.84,2527112,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-09
223.01,226.3,221.94,223.21,3288707,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-10
223.68,226.05,221.43,223.75,1514587,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-11
223.72,225.61,220.91,221.1,1963638,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-14
221.87,224.72,220.83,223.17,2119438,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-15
222.84,223.59,220.55,221.9,1812896,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-16
222.83,225.1,222.44,224.49,1650497,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-17
224.64,227.41,222.1,226.11,4630335,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-18
223.47,226.58,220.31,226.16,2528223,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-21
225.31,226.07,222.64,222.93,1848258,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-22
223.46,224.92,220.47,220.57,1782682,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-23
220.75,223.57,220.57,221.49,610981,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-24
223.28,225.35,221.46,222.75,2140402,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-28
225.39,225.65,222.66,222.86,1761404,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-29
223.8,224.85,220.29,220.68,1444836,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-30
220.83,222.35,219.67,222.14,1844915,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2020-12-31
224.99,225.66,219.68,223.23,3243939,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2021-01-04
222.73,229.36,222.73,228.77,3761128,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2021-01-05
223.88,237.64,222.46,236.35,4016700,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2021-01-06
238.45,243.05,237.89,239.71,3739820,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2021-01-07
241.04,244.96,240.5,243.49,2328083,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2021-01-08
243.01,244.22,241.84,244.12,1569704,0.0,0.0,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,2021-01-11
