Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
51.07,51.29,49.81,50.7,2227357,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-10-26
50.55,50.96,49.69,49.69,2147793,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-10-27
48.39,48.39,45.54,46.24,6998694,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-10-28
46.0,46.76,45.42,46.26,4473814,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-10-29
46.24,47.14,46.14,46.98,2945112,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-10-30
47.2,49.36,46.52,49.31,3320853,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-02
50.0,52.97,50.0,52.53,3769018,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-03
52.13,52.18,50.45,50.76,2879356,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-04
51.08,52.52,50.7,52.06,3043999,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-05
51.97,52.32,51.14,51.52,2455090,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-06
57.6,67.42,57.58,59.28,11134468,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-09
59.63,62.78,59.63,61.44,9573925,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-10
61.0,61.45,59.0,59.59,4580966,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-11
59.21,59.53,57.75,58.52,2496820,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-12
58.7,60.43,58.38,60.15,1950323,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-13
61.97,62.94,60.72,62.75,3145812,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-16
61.84,62.93,60.92,62.5,3182819,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-17
62.69,63.01,59.94,59.96,2130958,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-18
59.59,60.21,58.56,59.86,3112836,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-19
59.95,60.71,59.77,60.56,2948230,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-20
61.0,61.38,60.04,60.33,2705534,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-23
61.37,62.31,60.66,61.28,4009874,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-24
61.0,61.16,60.09,60.45,1689023,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-25
60.31,60.34,58.8,59.2,1469977,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-27
59.09,59.34,57.57,57.92,5936958,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-11-30
58.97,59.46,58.44,58.99,2063851,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-01
58.99,60.91,58.69,60.36,2947587,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-02
60.46,62.37,60.19,61.95,3180950,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-03
62.42,63.56,62.31,63.37,3186733,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-04
62.81,63.41,62.44,62.71,2027354,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-07
62.34,62.84,61.91,62.39,2051957,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-08
62.56,62.81,60.7,61.27,2273516,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-09
60.8,61.58,59.76,59.79,2868590,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-10
59.31,59.99,58.51,58.94,2375878,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-11
59.37,59.9,57.9,57.9,2219789,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-14
58.21,59.33,57.39,59.32,3241046,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-15
59.2,60.2,58.25,59.05,4241286,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-16
59.5,60.2,58.64,59.64,3231786,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-17
59.37,59.86,57.15,57.65,5843232,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-18
56.65,57.96,56.08,57.86,3833741,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-21
57.88,58.0,57.27,57.85,2748629,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-22
58.0,58.76,57.02,57.07,1346415,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-23
57.48,58.27,57.05,58.2,638056,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-24
58.38,59.45,58.12,59.42,1662520,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-28
59.52,59.82,58.29,58.36,2190233,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-29
58.39,59.16,58.35,58.96,1375011,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-30
58.64,59.33,57.82,59.28,1442223,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2020-12-31
59.38,60.08,57.22,57.5,4585706,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-04
57.44,57.72,56.79,57.05,2500833,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-05
57.6,59.05,57.3,58.61,2678349,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-06
58.29,58.33,57.52,57.9,2266267,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-07
57.99,58.39,57.59,58.26,2109975,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-08
58.15,58.37,57.08,58.05,2655041,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-11
58.05,58.78,57.43,58.55,2565315,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-12
58.71,59.78,58.37,59.57,1698956,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-13
59.93,60.88,59.57,60.39,3225513,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-14
60.46,61.68,60.08,61.59,3423939,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-15
61.96,61.96,60.26,60.31,2110172,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-19
60.31,62.43,59.88,61.67,2342823,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-20
61.11,62.0,60.61,61.81,2300589,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-21
61.5,62.21,61.18,61.56,1740435,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-22
61.22,62.17,60.59,61.67,1642417,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-25
61.81,63.1,61.67,62.63,2272990,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-26
62.11,62.83,60.54,60.8,2400486,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-27
60.86,63.39,60.63,62.36,2506107,0.0,0.0,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2021-01-28
