Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
41.41,41.76,41.04,41.7,6386740,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-10-26
41.62,42.0,41.14,41.15,5194860,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-10-27
40.37,40.83,39.42,39.57,6321729,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-10-28
39.18,40.56,38.8,40.16,5470756,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-10-29
39.72,40.25,39.46,39.89,7071659,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-10-30
40.51,40.98,39.94,40.96,5063709,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-02
42.72,42.99,41.62,42.47,6441796,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-03
42.69,42.94,41.65,42.22,8022245,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-04
42.46,43.36,42.31,43.07,7379248,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-05
42.94,43.17,42.61,42.84,8848182,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-06
44.41,46.02,43.11,43.32,8128001,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-09
43.27,43.67,42.92,42.99,10019998,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-10
43.2,43.85,42.88,43.84,5882684,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-11
43.45,43.63,42.38,42.7,5418055,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-12
42.7,42.95,42.51,42.89,3668734,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-13
43.21,43.51,42.63,43.34,4110897,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-16
42.88,43.54,42.81,43.07,4676072,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-17
43.19,43.38,42.68,42.7,5759432,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-18
42.47,42.58,41.78,42.35,5376687,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-19
42.24,42.56,41.78,41.87,4069937,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-20
42.29,42.3,41.4,41.57,4373778,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-23
42.06,42.81,41.87,42.75,4812111,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-24
42.46,42.56,41.78,42.22,3368949,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-25
42.24,42.31,41.58,41.74,1723438,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-27
41.48,41.52,40.92,41.07,9445750,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-11-30
41.32,41.88,41.1,41.25,5704755,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-01
41.12,41.61,40.72,41.57,5152715,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-02
41.3,41.65,40.8,41.05,4361370,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-03
41.3,41.34,40.53,40.93,3546301,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-04
40.7,41.44,40.66,41.2,3235857,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-07
41.17,41.39,40.61,41.32,4130692,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-08
41.28,41.47,40.97,41.09,4392419,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-09
41.26,41.38,40.55,41.2,4396124,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-10
40.83,41.29,40.7,41.19,3532441,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-11
41.48,42.09,41.03,41.06,4025620,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-14
41.44,42.83,41.28,42.72,8301152,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-15
42.8,43.11,42.18,42.44,7583779,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-16
42.61,43.12,42.6,42.65,5229598,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-17
42.69,43.03,42.34,42.57,9169932,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-18
42.21,42.21,41.11,41.51,4402792,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-21
41.59,41.96,41.48,41.76,3121752,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-22
41.93,42.43,41.65,41.71,3322921,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-23
41.95,41.95,41.41,41.83,1476671,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-24
42.16,42.63,41.98,42.21,2545093,0.0,0.0,EXC,Exelon,Utilities,Electric Utilities,2020-12-28
