Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
94.53,94.88,93.34,94.27,1153444,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-10-26
94.59,95.05,94.17,94.28,939605,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-10-27
92.81,93.42,89.15,89.19,1422702,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-10-28
89.2,90.43,88.24,89.41,1206255,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-10-29
88.68,89.74,86.91,88.37,1782928,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-10-30
89.69,90.11,87.94,88.62,1751835,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-02
89.16,91.74,85.01,86.89,2276452,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-03
88.01,89.49,86.5,86.93,1723178,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-04
87.94,88.97,86.87,87.41,1490184,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-05
87.71,88.7,86.83,88.32,931199,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-06
92.55,93.0,87.24,87.31,1818176,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-09
87.11,88.94,86.75,88.28,1276289,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-10
88.95,89.59,87.71,88.61,813695,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-11
88.86,89.33,87.24,87.77,1088499,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-12
88.72,90.16,86.7,89.19,1172049,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-13
90.35,91.16,89.07,90.27,1045113,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-16
89.74,90.11,88.8,89.9,847383,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-17
89.92,91.93,89.57,90.15,1108943,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-18
89.99,90.5,89.1,90.28,949315,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-19
90.25,90.72,88.86,88.99,1200214,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-20
89.33,89.73,88.47,88.78,1393748,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-23
89.62,91.63,89.13,90.34,1159677,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-24
90.38,90.62,88.89,90.3,773130,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-25
89.7,90.05,88.85,88.96,1031945,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-27
88.62,89.47,88.06,89.37,2782455,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-11-30
89.33,91.5,88.98,89.75,1354026,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-01
89.67,90.12,87.95,88.64,930877,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-02
88.63,89.75,88.2,88.7,926329,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-03
88.86,90.63,88.76,90.06,944503,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-04
90.07,90.39,89.29,89.75,842870,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-07
89.61,90.31,89.09,90.06,719489,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-08
90.3,90.83,90.06,90.63,650273,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-09
90.37,90.9,88.85,89.7,868824,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-10
89.67,91.02,88.71,90.49,895874,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-11
91.18,91.89,89.88,90.18,1080840,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-14
90.84,91.42,89.8,90.13,1661281,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-15
90.37,92.12,90.08,91.4,1109354,0.0,0.0,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2020-12-16
