Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
17.97,18.04,17.21,17.36,25170943,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-10-26
17.42,17.89,17.25,17.72,16146039,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-10-27
17.15,17.21,16.68,16.87,26701557,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-10-28
16.86,17.66,16.81,17.48,17281255,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-10-29
17.37,17.54,16.96,17.34,14561965,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-10-30
17.71,18.24,17.61,18.24,15736503,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-02
18.52,19.02,18.45,18.77,22028306,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-03
18.45,18.6,17.58,18.0,21994938,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-04
18.54,19.07,18.51,18.82,17254962,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-05
19.14,19.42,19.03,19.12,17790286,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-06
20.85,21.29,19.51,19.79,42199734,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-09
19.79,19.91,19.48,19.82,17410498,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-10
19.77,19.77,19.23,19.53,18941828,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-11
19.66,20.1,19.42,19.52,21169931,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-12
19.68,20.22,19.68,20.14,20386706,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-13
20.62,21.01,20.43,21.0,21087966,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-16
20.74,21.06,20.53,21.03,18279841,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-17
21.0,21.16,20.7,20.71,12800240,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-18
20.73,21.17,20.52,21.11,13826813,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-19
21.41,21.63,21.17,21.25,20839415,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-20
21.58,21.93,21.38,21.91,22211813,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-23
22.23,23.25,22.2,23.11,36253961,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-24
23.01,23.66,22.67,23.54,19830597,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-25
24.03,24.08,23.3,23.52,12314349,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-27
23.54,23.86,23.02,23.39,26438897,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-11-30
24.1,24.38,23.56,23.64,20851475,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-12-01
23.5,24.19,23.06,24.08,18749276,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-12-02
24.31,24.7,24.25,24.39,24832217,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-12-03
24.79,25.43,24.7,25.06,32322866,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-12-04
24.91,24.94,24.22,24.58,20252415,0.0,0.0,FCX,Freeport-McMoRan,Materials,Copper,2020-12-07
