Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
430.15,433.57,411.46,415.59,115222,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-10-26
419.28,420.23,403.68,405.84,192795,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-10-27
395.91,397.73,389.21,390.15,138524,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-10-28
390.34,398.01,386.62,393.43,157541,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-10-29
392.51,395.24,380.0,391.45,229975,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-10-30
395.16,401.82,384.26,390.85,203227,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-02
396.8,406.22,392.26,402.71,179361,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-03
410.27,443.2,410.27,441.65,302409,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-04
446.78,450.0,434.19,444.6,119596,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-05
445.55,449.78,441.79,443.85,130364,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-06
465.84,468.57,428.79,430.5,285832,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-09
433.33,436.16,415.54,432.89,355321,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-10
450.0,474.98,443.54,471.78,377432,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-11
473.21,473.21,457.68,461.72,166180,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-12
467.71,475.9,467.71,473.25,145257,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-13
473.3,477.78,466.69,473.25,162876,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-16
469.75,480.37,467.89,478.02,103233,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-17
479.92,479.92,471.88,474.28,134384,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-18
473.32,481.6,470.63,479.3,115143,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-19
477.84,487.03,475.04,482.79,140116,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-20
483.66,489.96,479.18,486.17,115462,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-23
487.96,488.2,475.83,480.02,213516,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-24
480.75,480.75,466.16,475.57,280499,0.0,0.0,FICO,Fair Isaac,Information Technology,Application Software,2020-11-25
