Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
23.95,24.1,23.34,23.45,4478897,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-10-26
23.32,23.5,22.9,22.9,4164815,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-10-27
22.43,22.83,22.32,22.44,5165915,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-10-28
22.35,23.28,22.1,23.1,3707808,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-10-29
22.73,23.24,22.56,23.22,6116417,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-10-30
23.55,24.23,23.22,24.11,4727494,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-02
24.6,24.9,24.43,24.51,5485832,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-03
23.92,23.95,22.67,23.1,6776535,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-04
23.16,24.3,23.16,24.0,6101114,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-05
24.29,24.31,22.94,23.21,4930623,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-06
25.2,27.08,25.03,26.56,13913718,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-09
26.41,26.58,26.07,26.34,9815632,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-10
26.5,26.5,25.48,25.72,5980963,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-11
25.27,25.27,24.46,24.86,6966316,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-12
25.18,25.59,25.05,25.39,6519342,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-13
26.69,26.69,25.91,26.25,7144375,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-16
25.75,26.07,25.22,26.05,4994966,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-17
26.1,26.6,25.69,25.7,5603842,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-18
25.53,25.97,25.0,25.88,4843939,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-19
25.44,25.71,25.11,25.29,5829089,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-20
25.73,26.12,25.5,26.01,6035157,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-23
26.6,27.47,26.5,27.26,6061398,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-24
26.77,26.95,26.44,26.68,4899511,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-25
26.6,26.71,26.02,26.28,2970691,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-27
26.07,26.38,25.27,25.34,8550647,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-11-30
25.9,26.46,25.79,26.2,5687586,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-01
26.11,26.7,25.83,26.59,5976859,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-02
26.62,27.0,26.34,26.83,5348478,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-03
27.06,27.46,26.92,27.4,6907554,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-04
27.42,27.47,26.84,27.38,4497688,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-07
26.98,27.47,26.98,27.26,7063688,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-08
27.51,28.11,27.46,27.73,5235641,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-09
27.48,27.98,27.18,27.78,4580382,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-10
27.35,27.56,26.99,27.34,4120485,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-11
27.87,27.87,26.54,26.62,4671121,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-14
26.89,27.24,26.58,27.09,3444601,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-15
27.19,27.36,26.86,27.25,3229468,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-16
27.34,27.34,26.74,27.13,3716276,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-17
27.17,27.32,26.42,26.63,8719496,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-18
26.9,27.42,26.56,27.16,6393019,0.0,0.0,FITB,Fifth Third Bancorp,Financials,Regional Banks,2020-12-21
