Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
10.44,10.44,9.96,10.08,113129,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-10-26
10.08,10.08,9.66,9.72,63500,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-10-27
9.3,9.42,8.97,9.24,99534,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-10-28
9.3,9.96,8.94,9.84,154335,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-10-29
9.66,10.62,9.66,10.5,117560,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-10-30
10.44,10.92,10.38,10.92,98119,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-02
10.92,11.4,10.62,11.22,82601,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-03
10.74,10.86,9.9,10.26,80190,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-04
10.32,10.74,10.26,10.56,35673,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-05
10.62,10.68,10.02,10.02,59716,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-06
10.68,12.66,10.56,12.36,243034,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-09
12.42,13.14,12.24,12.9,147609,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-10
12.9,12.96,12.18,12.66,82639,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-11
12.3,12.81,12.0,12.54,87136,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-12
12.72,12.72,12.03,12.36,77390,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-13
12.96,14.28,12.96,14.28,116321,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-16
13.92,14.1,13.32,13.98,106792,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-17
13.98,15.12,13.92,14.04,86183,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-18
13.8,14.34,13.65,13.8,105638,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-19
13.56,13.92,12.9,13.08,107780,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-20
13.32,15.06,13.27,15.06,137795,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-23
15.78,16.35,15.48,16.08,174203,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-24
15.96,16.08,15.0,15.36,98500,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-25
15.0,15.16,14.34,14.52,45058,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-27
14.34,14.58,13.2,13.38,110030,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-11-30
13.68,14.4,13.32,13.86,164413,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-01
14.04,15.18,13.8,14.58,117781,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-02
14.64,15.99,13.59,15.84,288146,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-03
16.26,17.52,15.99,17.16,386467,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-04
17.04,17.28,15.93,16.5,135338,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-07
16.26,17.19,16.2,17.04,153819,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-08
17.1,17.1,15.35,15.66,263889,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-09
15.72,17.07,15.69,16.74,295454,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-10
16.8,16.86,15.87,16.08,162808,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-11
16.2,16.2,14.94,15.66,152114,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-14
15.6,16.8,15.36,16.8,201961,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-15
16.86,16.86,16.08,16.44,154019,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-16
16.68,16.68,15.48,16.32,122430,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-17
16.5,16.86,16.26,16.56,667985,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-18
15.84,17.17,15.36,15.54,160106,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-21
15.66,15.84,14.34,14.52,131942,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-22
14.82,16.44,14.52,16.14,157485,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-23
16.32,16.62,15.84,16.62,41930,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-24
16.86,16.86,16.02,16.44,128790,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-28
16.56,16.56,15.84,16.32,116127,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-29
16.2,16.98,16.14,16.62,88188,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-30
16.5,17.04,16.14,16.44,63884,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2020-12-31
16.98,17.52,16.08,16.32,130230,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2021-01-04
16.62,18.3,16.62,17.16,169544,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2021-01-05
17.88,19.26,17.22,18.84,157255,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2021-01-06
18.96,19.38,18.63,19.02,95318,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2021-01-07
19.2,19.44,17.88,18.78,165000,0.0,0.0,FI,Fiserv,Financials,Transaction & Payment Processing Services,2021-01-08
