Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
25.83,26.14,24.44,24.64,7145370,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-10-26
24.96,25.12,24.7,24.85,6607110,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-10-27
24.61,24.63,23.77,23.79,7046375,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-10-28
23.95,24.19,23.6,23.6,7171320,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-10-29
23.62,23.62,21.35,22.07,21502650,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-10-30
22.2,22.29,21.98,22.12,7638335,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-02
22.09,22.77,21.85,22.48,6807610,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-03
22.94,23.57,22.7,23.25,6221180,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-04
23.6,23.98,23.56,23.9,5230100,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-05
23.91,23.91,23.38,23.44,5631160,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-06
23.57,24.59,23.32,23.42,8039265,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-09
23.19,23.27,21.99,22.26,8156475,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-10
22.68,23.06,22.47,22.92,4570125,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-11
23.1,23.33,22.47,22.72,4704205,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-12
23.01,23.23,22.79,23.18,4454695,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-13
23.16,23.46,23.06,23.34,4475745,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-16
23.48,23.93,23.37,23.68,4634970,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-17
24.02,24.1,23.31,23.34,5245595,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-18
23.25,23.57,23.03,23.41,4193125,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-19
23.29,23.91,23.21,23.62,5416295,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-20
23.7,23.8,23.18,23.42,4932870,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-23
23.56,23.78,23.14,23.72,7228960,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-24
23.87,24.29,23.8,23.97,4804885,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-25
24.21,24.82,24.15,24.76,3674845,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-27
24.73,24.82,24.03,24.65,8603140,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-11-30
24.86,24.86,24.07,24.53,4693820,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-01
24.43,24.65,24.14,24.58,3399875,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-02
24.73,25.5,24.6,25.22,6235705,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-03
25.37,25.71,25.19,25.56,3082585,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-04
25.72,25.88,25.52,25.62,3370765,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-07
25.37,26.37,25.37,26.33,5279175,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-08
26.01,26.16,24.9,25.07,6566150,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-09
24.98,25.6,24.83,25.51,5188555,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-10
25.46,25.71,25.22,25.67,5363635,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-11
25.64,26.44,25.57,26.14,5782495,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-14
26.38,26.4,25.88,26.36,5199280,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-15
26.4,26.98,26.25,26.67,4482755,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-16
26.86,27.3,26.79,27.28,5363580,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-17
27.31,29.29,27.28,29.17,15226580,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-18
28.68,29.47,28.24,29.19,6782070,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-21
29.15,30.67,29.08,30.43,7537175,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-22
30.51,30.63,29.99,30.05,4891745,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-23
29.99,30.3,29.71,29.96,2127845,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-24
30.13,30.3,29.68,29.86,3542460,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-28
30.0,30.17,29.3,29.51,3431540,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-29
29.74,29.95,29.53,29.6,3064510,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-30
29.73,29.8,29.45,29.71,2425560,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2020-12-31
29.91,29.93,28.57,29.11,5390960,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2021-01-04
28.31,28.54,27.97,28.35,6130895,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2021-01-05
27.46,28.12,27.46,27.62,6531275,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2021-01-06
27.83,28.72,27.82,28.65,6856020,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2021-01-07
28.9,29.7,28.82,29.63,6302270,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2021-01-08
29.38,30.11,28.87,29.63,6874325,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2021-01-11
30.13,31.06,29.87,30.58,8461675,0.0,0.0,FTNT,Fortinet,Information Technology,Systems Software,2021-01-12
