Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
61.75,61.94,60.66,60.98,2680698,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-10-26
60.89,61.71,60.81,61.12,2327791,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-10-27
60.42,61.06,59.47,59.52,3587168,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-10-28
59.7,59.94,58.72,59.22,2609834,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-10-29
59.01,59.63,58.67,59.12,2521205,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-10-30
59.79,60.57,59.44,59.73,2637784,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-02
60.15,61.7,60.15,60.89,2176509,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-03
61.49,61.78,60.41,60.47,2620224,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-04
60.96,61.68,60.52,60.56,2488116,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-05
60.61,61.36,60.5,61.07,2014871,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-06
61.06,61.67,58.3,58.36,4642480,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-09
58.22,58.97,57.24,58.92,6930379,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-10
59.01,60.21,58.49,59.89,3833323,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-11
60.22,60.5,58.98,60.49,4518843,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-12
60.66,61.08,60.25,60.97,1931454,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-13
60.73,61.27,59.89,61.21,3689633,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-16
61.0,61.54,60.53,61.28,3698427,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-17
61.2,62.0,60.85,61.13,4113001,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-18
60.92,62.02,60.5,62.0,2609598,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-19
61.95,62.36,60.89,61.36,3202408,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-20
61.23,61.44,60.68,61.02,3008138,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-23
61.55,61.55,60.21,60.57,3794490,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-24
60.74,61.09,59.93,60.0,3320914,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-25
60.35,60.35,59.81,60.13,1376069,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-27
60.09,60.85,59.62,60.82,4516597,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-11-30
60.7,61.43,60.45,61.31,3334883,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-01
61.21,61.84,59.95,60.22,3775505,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-02
60.15,60.63,59.92,60.44,3199207,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-03
60.31,60.81,60.01,60.44,3330933,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-04
60.37,60.57,59.52,59.74,3202854,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-07
59.64,60.53,59.59,60.4,2677251,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-08
60.28,60.46,59.1,59.33,3966673,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-09
59.36,59.64,58.53,58.87,3729622,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-10
58.79,59.46,58.63,59.32,2387967,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-11
59.7,60.44,59.33,59.35,3643944,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-14
59.58,59.58,58.54,59.03,3494972,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-15
59.01,59.66,58.67,58.92,4137652,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-16
59.31,60.16,58.52,59.7,5159647,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-17
59.65,60.2,59.06,59.4,6833237,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-18
59.1,59.31,58.18,58.99,3248908,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-21
58.9,58.96,58.29,58.6,2820987,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-22
58.67,59.25,58.62,58.99,2564637,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-23
58.75,59.16,58.62,59.13,1127449,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-24
59.22,59.42,58.92,59.35,2708359,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-28
59.4,59.82,58.96,59.15,2363056,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-29
59.06,59.22,58.53,58.56,1994224,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-30
58.53,58.87,58.1,58.8,3408540,0.0,0.0,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,2020-12-31
