Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
36.27,36.43,35.2,35.82,15615179,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-10-26
35.55,35.85,34.75,34.89,11285604,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-10-27
33.73,34.63,33.55,34.09,15299304,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-10-28
34.51,35.66,34.36,34.89,14405681,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-10-29
34.46,35.03,33.96,34.53,13148289,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-10-30
35.12,35.38,34.38,34.55,14771560,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-02
35.1,35.98,34.89,35.35,11583346,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-03
35.31,35.77,34.23,35.24,14862036,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-04
36.9,37.25,35.34,37.14,35328581,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-05
37.5,38.14,37.01,37.47,18434073,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-06
38.72,39.72,38.63,38.96,22569804,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-09
39.75,41.59,39.56,41.08,27059581,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-10
41.29,41.77,40.11,40.56,20241447,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-11
40.11,40.24,38.81,39.32,20449673,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-12
39.69,41.32,39.6,41.19,15195304,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-13
41.77,42.15,40.92,42.13,17009163,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-16
41.85,42.54,41.14,41.98,16305319,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-17
42.19,44.13,42.06,42.72,27872701,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-18
42.61,43.18,42.18,42.82,17378973,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-19
42.81,43.32,42.37,43.04,17163925,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-20
43.96,45.16,43.56,44.77,22838822,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-23
45.91,46.71,45.07,46.46,20429603,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-24
45.61,46.06,44.64,45.46,16303181,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-25
45.35,45.59,44.75,45.06,7528791,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-27
44.96,45.32,43.62,43.84,21803768,0.0,0.0,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2020-11-30
