Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
81.25,81.91,78.82,79.52,37065080,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-10-26
79.78,80.34,79.14,80.21,24580040,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-10-27
77.99,78.07,75.73,75.83,36676680,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-10-28
76.12,79.69,76.11,78.36,40061280,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-10-29
83.61,84.35,80.22,81.05,86617240,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-10-30
81.41,83.04,80.8,81.3,50708920,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-02
81.59,83.08,80.83,82.51,32932760,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-03
85.51,88.57,85.3,87.46,71418540,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-04
89.05,89.68,87.53,88.17,41316240,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-05
87.7,88.62,87.02,88.09,33224500,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-06
89.54,90.9,88.0,88.15,45365400,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-09
86.55,88.15,85.86,87.02,52722840,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-10
87.5,88.21,87.37,87.64,25279320,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-11
87.38,88.41,87.28,87.49,24975080,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-12
87.88,89.05,87.23,88.85,30011480,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-13
88.58,89.95,88.38,89.07,24935700,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-16
88.85,89.25,88.35,88.51,22942280,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-17
88.26,88.67,87.31,87.34,23469320,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-18
86.92,88.48,86.85,88.2,24998200,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-19
88.26,88.7,87.09,87.11,46273100,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-20
87.48,87.7,85.89,86.74,43239500,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-23
86.52,88.58,86.38,88.44,31594060,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-24
88.64,88.93,87.83,88.57,20922440,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-25
88.65,90.2,88.62,89.66,17698320,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-27
89.06,89.4,87.75,88.04,36476720,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-11-30
88.72,91.24,88.47,89.9,34780900,0.0,0.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2020-12-01
