Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
174.55,174.55,167.72,168.8,1485974,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-10-26
168.75,169.6,164.43,164.76,2369610,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-10-27
162.0,163.25,158.41,159.1,2471161,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-10-28
154.0,161.16,154.0,156.17,3430039,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-10-29
155.33,157.81,153.33,157.74,3191222,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-10-30
159.91,162.13,158.55,160.36,2771595,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-02
162.1,166.33,161.26,165.9,2124520,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-03
169.0,173.48,168.12,170.86,2267649,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-04
173.88,176.11,172.53,174.24,1383277,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-05
173.89,174.98,172.25,173.88,1119876,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-06
189.49,199.69,189.3,193.66,4895714,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-09
193.45,196.02,191.43,193.47,2717835,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-10
195.06,195.09,186.55,189.28,1983291,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-11
188.7,188.7,181.82,184.43,1884108,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-12
185.47,190.19,185.47,188.41,1863501,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-13
190.0,194.25,189.3,189.94,2275791,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-16
188.79,190.26,185.71,189.83,1822338,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-17
190.18,192.13,187.73,187.92,1269602,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-18
187.44,191.76,184.5,190.55,1353545,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-19
191.61,192.89,189.14,190.7,1547321,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-20
192.54,193.67,189.52,192.15,1341829,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-23
193.83,199.04,192.3,198.83,2007192,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-24
197.12,198.36,194.74,197.01,1312728,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-25
198.0,198.0,195.78,197.03,679430,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-27
196.03,196.8,191.27,195.19,1591634,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-11-30
197.29,198.73,195.53,195.98,1369201,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-01
195.0,195.79,193.21,195.38,1143018,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-02
195.29,197.38,193.87,195.75,934502,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-03
196.64,200.09,195.99,200.07,1135645,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-04
198.88,200.34,198.25,199.23,990480,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-07
197.99,198.7,196.78,198.58,1273792,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-08
199.0,199.0,195.35,195.66,1698280,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-09
194.49,197.03,192.91,194.17,1360310,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-10
192.35,194.71,191.52,192.06,1118977,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-11
193.3,196.55,191.78,191.88,1220744,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-14
192.43,194.44,191.32,193.57,1831634,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-15
193.37,195.48,192.04,194.67,1151409,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-16
195.35,197.46,195.32,195.42,1363644,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-17
195.01,197.31,193.56,196.33,2832995,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-18
203.89,209.66,199.99,200.42,3839964,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-21
200.52,200.78,196.88,197.83,2230445,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-22
198.76,200.92,196.92,200.26,1340553,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-23
200.19,205.92,200.19,205.55,954126,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-24
206.48,209.89,206.38,208.98,2033315,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-28
210.0,211.12,208.57,209.77,2671623,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-29
210.73,213.4,210.02,210.14,1562461,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-30
210.08,215.7,209.73,215.42,1231428,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2020-12-31
215.08,215.51,204.04,207.22,2173974,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2021-01-04
207.0,209.3,205.11,205.36,1245200,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2021-01-05
205.86,212.28,205.08,207.33,1495861,0.0,0.0,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2021-01-06
