Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
18.88,19.0,18.07,18.25,12522556,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-26
18.28,18.38,17.96,17.98,8965758,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-27
17.45,17.75,17.3,17.35,12396503,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-28
17.28,17.91,17.25,17.78,7810887,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-29
17.63,17.97,17.52,17.96,7924635,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-30
18.18,18.49,18.02,18.41,7578979,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-02
18.68,18.79,18.56,18.62,6405743,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-03
18.64,18.66,18.25,18.28,8611487,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-04
18.6,19.2,18.59,19.13,9009560,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-05
19.1,19.34,18.97,19.25,6586877,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-06
19.92,20.6,19.64,19.73,14257173,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-09
19.77,20.08,19.66,19.87,11324396,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-10
19.92,19.95,19.2,19.36,9803184,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-11
19.21,19.36,18.69,18.93,8971155,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-12
19.06,19.66,19.03,19.61,6585651,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-13
19.89,20.39,19.74,20.3,11266787,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-16
20.03,20.9,19.85,20.5,12419852,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-17
20.61,20.95,20.44,20.45,9188378,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-18
20.36,20.58,20.13,20.5,5867205,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-19
20.52,20.68,20.32,20.45,7459881,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-20
20.7,21.27,20.58,21.19,8982713,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-23
21.32,21.94,21.26,21.75,17641791,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-24
22.88,23.35,21.86,22.25,19110055,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-25
22.05,22.38,22.02,22.27,6690237,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-27
22.09,22.28,21.8,21.93,14940098,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-30
22.22,22.59,22.08,22.38,11658577,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-01
22.36,22.98,22.26,22.82,8831679,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-02
22.8,23.43,22.76,23.24,8800921,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-03
23.26,23.88,23.25,23.78,8807773,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-04
23.57,23.89,23.36,23.68,8492688,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-07
23.33,23.76,23.3,23.52,8106620,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-08
23.15,23.79,23.14,23.19,11021097,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-09
22.89,23.44,22.85,23.17,10564033,0.0,0.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-10
