Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
441.57,445.0,430.89,435.13,381703,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-10-26
433.23,434.74,429.8,432.14,437186,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-10-27
423.14,427.48,412.52,413.25,658094,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-10-28
411.91,414.0,396.49,396.75,1260409,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-10-29
398.22,402.12,392.49,399.28,947742,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-10-30
404.0,413.02,398.87,408.58,1087725,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-02
410.69,430.44,409.67,423.43,977174,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-03
445.01,474.7,445.01,452.01,1999079,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-04
459.99,462.42,438.98,440.79,1337061,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-05
439.55,439.56,428.26,432.55,687742,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-06
448.06,453.96,422.56,422.99,969155,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-09
422.31,431.34,408.89,430.67,1102771,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-10
433.49,434.87,421.64,426.0,984553,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-11
426.8,434.9,423.0,431.8,762037,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-12
435.16,436.34,427.78,433.4,706592,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-13
434.67,437.86,423.86,428.54,658844,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-16
425.18,426.75,418.04,422.23,578364,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-17
422.74,424.0,413.72,418.44,550220,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-18
416.62,419.33,405.54,407.17,1503731,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-19
405.54,410.0,401.67,406.21,765555,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-20
409.33,412.57,404.67,409.29,1104077,0.0,0.0,HUM,Humana,Health Care,Managed Health Care,2020-11-23
