Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
427.67,434.93,426.23,428.96,394859,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-10-26
430.27,444.96,430.27,443.16,385866,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-10-27
434.5,441.48,422.11,422.89,475817,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-10-28
440.0,453.2,433.08,441.8,557975,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-10-29
438.47,441.72,419.12,424.82,611155,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-10-30
430.48,446.74,428.08,431.05,552465,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-02
437.32,448.29,437.32,444.1,382362,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-03
455.26,482.5,451.58,469.36,734203,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-04
473.99,480.18,462.68,467.97,440726,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-05
469.99,479.15,466.36,478.1,519868,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-06
485.0,485.0,435.58,436.45,822988,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-09
431.89,443.72,421.15,441.23,865535,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-10
443.69,455.74,443.69,455.06,432247,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-11
459.62,462.56,445.06,449.22,396501,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-12
452.99,458.35,448.67,453.64,254364,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-13
452.09,459.43,448.82,455.37,500036,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-16
454.62,457.0,450.54,455.85,315420,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-17
451.36,455.0,443.65,444.06,347447,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-18
444.77,457.81,444.77,457.19,318476,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-19
456.23,469.13,455.0,464.29,411438,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-20
467.26,467.26,449.71,459.79,440853,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-23
459.49,466.77,446.46,446.83,494849,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-24
449.24,454.82,443.14,446.48,338900,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-25
452.05,455.97,446.68,454.23,173865,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-27
454.77,461.09,451.31,460.98,589814,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-11-30
461.99,468.98,452.22,467.86,386725,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-01
465.51,467.5,461.5,462.59,351973,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-02
463.85,467.82,458.38,460.07,352576,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-03
462.96,463.26,455.87,457.15,387577,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-04
455.92,462.7,454.2,459.36,320377,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-07
461.92,461.92,453.24,460.69,436206,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-08
458.91,462.45,449.11,449.88,436058,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-09
450.49,456.05,449.04,454.27,592541,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-10
455.57,457.62,447.82,456.23,327154,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-11
458.84,477.36,457.28,458.17,460812,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-14
460.66,467.4,453.8,464.96,297340,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-15
466.53,474.3,463.46,467.58,466647,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-16
471.69,477.8,468.35,477.8,369420,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-17
478.49,486.99,474.0,485.52,899144,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-18
480.06,490.44,470.26,489.68,383331,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-21
488.01,499.62,487.76,499.15,331461,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-22
499.06,502.0,492.82,493.68,253158,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-23
495.82,499.12,493.16,497.14,69543,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-24
503.63,503.83,490.25,494.7,216671,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-28
497.97,501.04,490.04,494.07,247628,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-29
497.7,501.29,494.5,496.96,195392,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-30
495.51,500.41,492.0,499.87,228385,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2020-12-31
503.0,504.66,483.12,491.77,472344,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-04
488.91,498.93,487.51,497.26,355999,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-05
489.05,491.67,479.36,483.6,633983,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-06
483.49,497.49,483.49,495.19,499534,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-07
499.79,513.56,499.29,513.2,401413,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-08
515.57,516.86,503.83,506.55,441923,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-11
507.09,509.47,491.22,496.73,353241,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-12
496.18,501.56,494.22,497.58,299657,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-13
497.31,499.75,487.89,488.9,333922,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-14
487.93,494.24,480.93,489.46,340894,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-15
489.24,489.3,481.35,484.93,327237,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-19
486.41,496.78,485.84,495.04,285333,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-20
493.0,498.56,487.49,496.44,254634,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-21
490.73,498.98,490.0,492.86,329402,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-22
492.47,495.97,482.09,489.21,349626,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-25
488.35,488.35,476.33,478.1,346910,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-26
474.86,475.81,455.23,465.18,583204,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-27
465.31,492.81,465.31,482.27,493490,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-28
481.05,491.88,471.75,478.68,493819,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-01-29
483.02,497.65,479.37,492.42,573056,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-01
504.34,522.9,502.0,506.65,702042,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-02
504.17,507.63,484.15,485.36,605246,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-03
487.91,495.12,486.03,494.0,440694,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-04
496.29,506.0,495.01,502.64,299159,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-05
504.31,510.25,491.44,495.76,427640,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-08
497.31,506.28,493.3,505.05,442259,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-09
509.26,521.49,505.31,516.54,540983,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-10
519.3,529.45,515.18,528.47,411831,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-11
530.74,545.85,528.0,544.08,324957,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-12
545.0,548.58,531.19,538.16,406233,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-16
535.9,544.56,532.06,540.35,371868,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-17
537.04,573.99,535.17,551.79,1576161,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-18
561.21,563.56,542.76,544.13,654974,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-19
547.12,547.12,534.01,536.91,461459,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-22
534.82,535.08,508.11,525.22,591193,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-23
526.23,534.75,517.27,532.88,440307,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-24
530.08,535.38,509.45,518.28,427870,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-25
522.9,526.37,507.34,520.17,593903,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-02-26
529.68,541.29,521.35,538.17,415949,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-01
542.08,543.28,527.17,529.47,312062,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-02
524.76,526.3,495.58,498.02,531244,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-03
494.9,497.52,480.51,485.85,676133,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-04
486.0,504.53,478.2,499.7,725026,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-05
498.53,504.37,481.29,482.6,605079,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-08
500.33,507.16,493.09,493.57,643902,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-09
494.01,505.2,488.28,488.78,484695,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-10
495.7,505.0,493.01,502.94,364708,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-11
498.91,498.91,486.74,497.75,361243,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-12
499.89,513.23,498.61,512.76,317537,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-15
520.0,521.11,502.47,506.92,318103,0.0,0.0,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2021-03-16
