Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
165.33,165.71,159.81,162.17,1309092,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-10-26
162.62,162.74,158.58,159.14,1221715,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-10-27
155.75,158.64,155.22,155.71,1412784,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-10-28
156.42,157.75,153.55,154.65,1241257,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-10-29
153.94,155.01,150.66,153.99,1017482,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-10-30
156.21,157.57,154.24,155.13,797240,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-02
157.66,160.95,157.09,160.14,777117,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-03
162.04,174.21,162.04,170.9,1592886,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-04
173.67,176.16,171.26,171.71,1023448,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-05
171.99,173.33,169.86,171.44,768905,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-06
180.13,180.77,173.31,173.66,1297844,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-09
172.76,173.41,165.48,166.0,1280466,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-10
168.01,169.71,165.58,167.88,893849,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-11
167.81,169.65,166.68,167.8,754625,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-12
168.98,174.52,168.97,173.93,749482,0.0,0.0,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2020-11-13
