Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
242.36,243.26,233.56,237.26,1540944,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-10-26
237.84,242.68,237.12,240.3,975012,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-10-27
234.77,235.05,229.26,229.27,1691883,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-10-28
230.0,231.49,227.79,228.76,2658363,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-10-29
227.4,228.67,217.67,222.36,2990148,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-10-30
226.87,227.67,223.1,225.33,1865586,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-02
228.0,232.26,226.94,227.33,1879389,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-03
236.23,239.32,233.57,236.55,2760969,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-04
244.85,244.93,239.56,242.76,1606095,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-05
243.14,245.8,240.08,244.62,1218126,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-06
251.93,264.18,251.93,257.82,3383823,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-09
257.01,257.24,247.33,249.83,1922598,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-10
251.51,253.28,245.37,245.85,1555950,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-11
248.06,250.59,245.66,246.92,1241574,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-12
249.44,251.77,248.24,251.13,862473,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-13
253.33,254.68,249.37,252.73,1561125,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-16
249.32,250.76,246.88,249.72,1152972,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-17
249.08,249.24,244.33,244.46,1302039,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-18
243.59,245.81,241.16,244.65,1141608,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-19
243.67,245.08,242.21,243.58,1169016,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-20
243.83,244.68,237.69,239.68,1503153,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-23
242.3,242.88,240.34,241.61,1761714,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-24
243.1,244.25,241.62,242.12,1029003,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-25
245.12,245.19,242.0,243.27,796164,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-27
241.8,244.63,240.33,242.02,2353932,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-11-30
244.43,245.51,240.62,244.55,1556949,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-01
243.67,251.4,243.67,250.43,1761141,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-02
250.66,254.75,249.62,252.91,1634346,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-03
251.16,260.63,251.16,260.11,1661634,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-04
259.33,260.18,254.11,254.8,1732407,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-07
254.29,255.86,251.67,255.12,1276179,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-08
255.87,255.87,250.03,251.17,1587465,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-09
251.87,255.6,249.36,252.69,1488621,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-10
251.38,253.97,248.63,253.33,1631130,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-11
254.67,260.21,254.02,254.93,1794399,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-14
252.34,257.19,251.67,256.16,1297842,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-15
255.25,256.65,254.02,255.35,1078890,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-16
257.13,260.42,255.75,259.93,1306620,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-17
262.26,263.6,258.35,263.03,2622879,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-18
259.34,263.33,256.06,263.09,1542003,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-21
263.37,272.28,262.76,271.75,2246193,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-22
272.34,275.6,269.51,269.88,1932915,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-23
270.24,270.78,267.67,269.0,489804,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-24
272.74,273.33,265.74,268.39,1229610,0.0,0.0,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2020-12-28
