Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
35.13,35.14,33.98,34.13,1063850,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-10-26
34.16,34.28,33.14,33.42,1021337,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-10-27
32.5,32.77,31.52,31.61,1295877,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-10-28
31.5,33.26,31.41,33.17,1497060,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-10-29
32.93,33.49,32.31,33.14,1024507,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-10-30
33.36,33.83,33.19,33.82,843985,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-02
34.38,34.75,34.05,34.62,830341,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-03
34.62,34.83,33.99,34.45,884010,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-04
34.91,35.93,34.62,35.79,822182,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-05
35.69,36.03,35.54,35.94,680490,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-06
37.69,38.32,37.05,37.11,1171935,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-09
37.32,37.78,36.96,37.29,1271243,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-10
37.5,37.69,36.58,37.34,663822,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-11
36.99,37.06,36.03,36.28,674074,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-12
36.61,37.85,36.61,37.71,611110,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-13
38.05,39.0,37.89,38.97,897292,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-16
38.43,38.8,38.09,38.33,1445403,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-17
38.51,38.74,37.77,37.78,827309,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-18
37.67,37.7,37.19,37.57,650710,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-19
37.48,37.63,37.17,37.43,500063,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-20
37.84,38.49,37.63,38.38,590956,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-23
38.75,39.42,38.38,39.33,909486,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-24
39.12,39.37,38.88,39.09,474163,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-25
39.09,39.6,39.0,39.39,262087,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-27
38.94,39.06,38.15,38.22,1251523,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-11-30
38.84,39.2,38.51,38.77,505860,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-12-01
38.84,39.64,38.58,39.46,880640,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-12-02
39.28,39.71,39.11,39.53,956323,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-12-03
39.75,40.61,39.65,40.55,610228,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-12-04
40.58,40.8,40.14,40.73,742459,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-12-07
39.71,40.83,39.62,40.22,964177,0.0,0.0,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2020-12-08
