Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
43.72,43.82,42.52,42.96,3669879,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-10-26
42.91,43.09,42.07,42.18,2864705,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-10-27
41.52,42.44,41.1,41.14,4753596,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-10-28
41.19,42.48,40.92,42.31,3940380,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-10-29
42.33,42.86,41.37,42.21,4669618,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-10-30
42.94,44.09,42.88,43.94,5922030,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-02
44.05,45.08,43.4,44.22,6200810,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-03
44.0,44.06,41.69,41.8,10230270,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-04
42.48,43.9,42.0,43.48,7572817,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-05
43.38,43.89,43.25,43.74,5877194,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-06
45.92,47.58,44.4,44.42,7976022,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-09
44.74,45.31,44.24,44.42,7875239,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-10
44.8,44.97,43.92,44.0,8119604,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-11
43.84,44.03,43.46,43.82,5277730,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-12
44.19,45.0,44.19,44.65,6879501,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-13
45.32,45.5,44.74,45.36,9100822,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-16
44.99,45.37,44.11,44.71,14218442,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-17
44.92,46.3,44.84,45.96,6578959,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-18
45.79,45.9,45.12,45.71,4881578,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-19
45.52,45.76,45.03,45.29,3490634,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-20
45.59,46.06,45.46,45.65,3678525,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-23
46.27,47.01,45.89,46.66,3387221,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-24
46.31,46.55,45.82,46.41,2835127,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-25
46.38,46.67,45.89,45.97,1810829,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-27
45.94,46.55,45.83,46.04,7736910,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-11-30
46.76,47.3,46.23,46.27,4798038,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-01
46.16,46.68,45.61,45.89,4494558,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-02
45.97,46.19,45.45,45.73,5247715,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-03
45.97,46.32,45.59,45.89,5302231,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-04
45.85,45.85,45.15,45.25,3626661,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-07
45.1,45.57,45.08,45.26,4689335,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-08
45.71,45.99,45.33,45.79,6126101,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-09
45.4,45.89,45.04,45.69,3455432,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-10
45.43,45.7,45.25,45.55,4055124,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-11
45.68,46.11,45.02,45.1,4765645,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-14
45.17,46.04,44.91,46.04,4759995,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-15
46.08,46.25,45.41,45.77,4782079,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-16
46.08,46.56,45.83,46.45,3939157,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-17
46.45,46.73,45.91,46.24,12070505,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-18
45.5,46.22,45.35,45.95,4525305,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-21
46.12,46.22,45.56,45.64,3338806,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-22
45.71,46.17,45.49,45.92,4259390,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-23
46.2,46.2,45.68,45.93,842541,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-24
46.18,46.69,46.03,46.11,2536716,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-28
46.38,46.51,45.55,45.9,2454745,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-29
46.05,46.8,45.95,46.42,2301588,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-30
46.32,46.65,45.99,46.59,1958804,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2020-12-31
46.61,47.23,45.9,46.18,5439289,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-04
46.02,47.55,46.02,47.52,5591085,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-05
48.0,50.26,47.84,49.75,10281193,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-06
50.36,51.38,49.49,51.18,5125103,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-07
51.4,51.57,50.56,51.3,5150418,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-08
49.05,51.28,49.0,50.99,3979884,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-11
51.22,51.96,50.39,51.84,4038497,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-12
51.99,52.32,51.44,52.01,5746238,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-13
52.15,52.92,52.02,52.45,3048458,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-14
52.09,52.15,51.06,51.81,4143682,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-15
52.37,52.83,51.61,51.63,3180761,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-19
51.82,52.41,51.45,52.39,5108641,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-20
52.06,52.35,51.63,52.16,4033966,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-21
51.83,52.7,51.59,52.35,5862288,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-22
51.94,52.18,51.15,51.46,4096766,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-25
51.53,51.92,50.29,50.36,3714571,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-26
49.92,49.92,48.11,48.4,4810244,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-27
49.13,50.0,48.55,49.34,4535341,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-28
49.01,50.11,48.22,49.82,6056645,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-01-29
50.24,51.53,50.22,50.91,5839146,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-02-01
51.22,51.63,50.71,50.71,3232258,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-02-02
50.55,50.84,50.06,50.62,4328936,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-02-03
50.62,51.51,50.62,51.2,3370062,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-02-04
51.41,51.62,50.82,51.05,3920540,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-02-05
51.11,51.76,50.98,51.71,2785604,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-02-08
51.38,52.02,51.29,51.6,3684556,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-02-09
51.89,52.27,51.36,52.04,3352435,0.0,0.0,JCI,Johnson Controls,Industrials,Building Products,2021-02-10
