Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
106.65,107.71,104.86,105.85,727948,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-26
106.23,107.59,105.82,106.9,864860,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-27
105.42,106.26,103.4,104.3,984264,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-28
104.08,105.9,103.66,104.54,1226450,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-29
104.24,105.95,102.77,104.87,1663280,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-30
105.37,106.62,103.94,104.74,813800,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-02
106.01,109.39,106.01,107.72,1298950,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-03
108.61,109.87,107.24,107.8,1433185,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-04
109.04,111.7,109.0,111.13,1141259,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-05
110.74,113.58,109.97,112.97,986153,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-06
115.29,117.92,114.64,115.56,1557517,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-09
114.71,114.71,111.82,112.0,1467334,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-10
112.19,115.86,112.19,115.44,1069483,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-11
115.0,115.3,113.28,114.02,1156258,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-12
115.0,116.44,114.1,116.1,823078,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-13
117.0,118.77,116.41,117.67,1415593,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-16
117.0,118.16,115.41,117.56,1110867,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-17
117.78,118.67,115.14,115.14,1720565,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-18
114.2,118.46,112.65,117.96,2008711,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-19
118.0,118.99,116.02,116.17,1654210,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-20
117.0,117.8,115.71,117.15,1225559,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-23
118.14,118.61,117.37,118.12,1298216,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-24
117.89,119.17,117.12,118.52,1177035,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-25
118.23,120.65,118.04,119.07,578119,0.0,0.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-27
