Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
200.65,202.42,197.04,198.94,942634,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-10-26
200.01,200.49,197.13,198.59,739178,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-10-27
194.52,196.24,190.48,190.55,1554791,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-10-28
190.4,204.08,190.2,201.95,1351524,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-10-29
198.5,201.0,195.34,197.18,1047289,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-10-30
199.8,203.22,198.82,202.23,817887,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-02
205.06,212.4,204.51,210.88,1188206,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-03
214.31,221.78,210.58,220.53,1356776,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-04
222.86,228.93,222.86,228.1,1276481,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-05
228.88,233.28,225.72,231.68,695959,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-06
237.71,242.6,231.93,232.32,1135000,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-09
230.0,232.27,223.13,223.73,1071620,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-10
227.21,234.13,225.7,233.51,994842,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-11
235.13,236.12,231.31,233.26,895330,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-12
237.15,240.92,235.51,236.1,892703,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-13
237.64,242.57,236.37,241.78,882846,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-16
242.45,243.82,239.7,241.84,1401204,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-17
243.61,244.74,239.95,240.34,832311,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-18
236.12,244.36,236.01,243.75,716422,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-19
244.31,247.39,242.48,242.57,583089,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-20
243.28,250.44,242.66,250.24,720431,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-23
250.75,251.7,247.8,250.17,750209,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-24
250.0,251.1,247.12,248.95,547223,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-25
251.11,256.22,251.11,254.13,335501,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-27
256.99,256.99,248.42,251.97,1017718,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-11-30
254.46,258.72,252.59,256.66,903485,0.0,0.0,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,2020-12-01
