Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
74.54,74.93,71.83,72.62,2965276,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-10-26
72.8,72.8,69.89,70.19,3333182,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-10-27
68.8,71.36,68.49,70.02,2888099,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-10-28
70.46,71.21,69.04,69.31,2396849,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-10-29
68.91,69.86,67.19,67.99,3030035,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-10-30
69.54,71.26,68.7,70.19,2977614,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-02
71.51,72.44,70.12,71.99,2648578,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-03
74.45,78.34,74.3,76.94,6230234,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-04
77.71,78.33,76.06,76.21,2743116,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-05
76.21,76.21,72.93,73.18,2230125,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-06
74.44,75.26,68.04,68.15,5208753,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-09
68.67,73.48,67.46,72.93,5850946,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-10
73.06,73.82,72.21,73.79,1862161,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-11
74.09,74.86,71.15,71.63,2553955,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-12
72.48,73.83,71.68,73.18,1620857,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-13
73.47,74.24,71.76,73.34,2553252,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-16
73.05,74.53,72.36,73.29,2150466,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-17
72.95,75.18,72.8,74.04,2803524,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-18
74.37,75.36,73.47,73.86,2578101,0.0,0.0,LEN,Lennar,Consumer Discretionary,Homebuilding,2020-11-19
