Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
176.34,176.68,171.88,173.51,925337,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-10-26
173.98,182.53,173.48,177.4,1343008,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-10-27
174.59,178.87,173.48,175.26,721095,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-10-28
175.01,175.26,168.01,171.41,1039449,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-10-29
170.93,172.05,168.5,171.62,625683,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-10-30
175.59,178.52,173.74,178.03,827521,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-02
179.69,182.35,179.5,180.83,923540,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-03
182.13,185.74,180.81,181.88,1150591,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-04
184.72,187.95,183.06,184.21,705840,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-05
184.36,187.08,183.38,183.79,633174,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-06
180.84,181.59,167.09,170.58,1792021,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-09
171.7,173.11,165.63,172.82,1175840,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-10
174.56,177.04,173.54,174.83,748083,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-11
175.31,175.84,171.78,173.14,588387,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-12
174.32,174.88,171.25,171.47,773480,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-13
173.2,177.4,168.76,175.69,840259,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-16
173.67,176.48,172.09,175.92,796673,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-17
176.68,177.01,170.63,170.99,735087,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-18
171.47,172.51,169.26,170.76,641692,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-19
170.6,176.7,170.6,174.17,909216,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-20
175.62,176.71,170.16,170.42,722303,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-23
171.41,172.64,169.18,170.76,682250,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-24
170.96,171.26,167.86,168.78,610908,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-25
170.0,172.64,169.24,171.82,252310,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-27
171.82,173.2,169.95,171.68,687606,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-11-30
172.84,174.21,171.47,173.08,484758,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-01
173.08,174.1,170.13,170.82,483751,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-02
171.25,172.2,168.28,168.93,961682,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-03
169.24,171.19,168.31,170.83,1261668,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-04
170.09,171.79,168.44,169.53,736119,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-07
168.86,174.12,168.86,173.63,748146,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-08
173.46,174.08,171.56,173.86,595800,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-09
174.26,178.95,173.82,178.34,935918,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-10
177.47,178.26,174.12,175.4,1019789,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-11
176.36,178.26,175.35,175.35,1003543,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-14
176.64,177.23,175.42,176.78,618585,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-15
177.84,178.48,172.91,173.51,1016754,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-16
174.58,174.76,172.86,174.13,820909,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-17
173.77,176.42,173.16,176.21,1554182,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-18
173.96,176.18,172.77,176.05,690971,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-21
175.89,176.3,173.92,174.73,462489,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-22
174.54,175.93,174.01,175.31,511077,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-23
176.12,176.12,174.18,175.15,239798,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-24
176.45,177.23,173.08,173.99,965745,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-28
174.37,175.05,172.53,173.71,666980,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-29
173.98,174.83,172.67,173.12,467952,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-30
172.81,175.03,172.22,174.87,438798,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2020-12-31
174.66,176.48,172.41,176.01,929040,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-04
176.97,180.52,176.4,179.36,750795,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-05
178.07,187.68,178.07,186.56,886768,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-06
187.92,189.31,186.36,187.53,746833,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-07
186.86,188.27,180.53,183.46,1009892,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-08
183.44,186.6,182.65,186.43,767857,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-11
186.43,189.43,186.22,189.18,793886,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-12
188.85,190.96,188.74,189.06,769396,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-13
189.96,190.84,188.61,189.18,649212,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-14
188.9,192.28,187.36,192.19,776394,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-15
194.46,195.29,189.95,193.93,1091983,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-19
194.16,197.59,193.13,197.52,950755,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-20
196.4,198.26,195.54,196.26,748453,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-21
196.61,196.87,194.75,196.65,720002,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-22
197.45,197.45,191.85,193.68,834469,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-25
193.57,194.45,190.68,190.7,596132,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-26
187.96,188.99,182.86,184.54,1023579,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-27
185.65,190.23,185.03,188.82,896394,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-28
190.58,201.29,188.91,196.66,1098583,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-01-29
197.32,204.36,196.82,201.38,1079305,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-01
203.2,204.25,200.5,200.51,760967,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-02
200.24,200.58,193.59,195.87,625374,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-03
195.21,197.72,191.92,192.25,763535,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-04
194.03,195.19,192.61,194.63,621619,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-05
196.58,197.32,192.02,194.13,755271,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-08
193.92,196.12,191.89,194.83,859011,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-09
196.72,199.42,195.7,196.91,761888,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-10
201.89,205.76,195.88,203.79,1391020,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-11
205.15,208.17,203.44,204.69,1050602,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-12
203.66,205.46,200.33,203.07,1275686,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-16
202.75,216.88,202.22,208.72,1638521,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-17
207.64,209.09,204.68,208.61,703590,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-18
209.42,212.39,207.15,211.67,1354407,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-19
209.42,211.17,206.48,209.5,847577,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-22
210.07,216.73,204.2,212.33,1904730,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-23
205.94,212.18,203.17,210.05,1245142,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-24
208.16,210.25,201.92,203.2,914656,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-25
203.93,207.63,201.25,206.11,1323080,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-02-26
207.9,212.44,207.2,207.47,1016505,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-01
209.94,212.13,207.72,209.32,918547,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-02
208.99,209.8,205.11,206.12,606216,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-03
204.73,207.09,199.76,201.8,808950,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-04
204.27,205.17,198.36,204.3,775723,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-05
204.06,211.12,203.44,206.68,704807,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-08
208.19,210.47,205.1,205.52,849970,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-09
207.71,208.21,199.0,199.85,1159581,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-10
200.77,204.39,200.77,203.86,1278876,0.0,0.0,LH,Labcorp,Health Care,Health Care Services,2021-03-11
