Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
285.14,286.18,280.82,281.81,247279,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-10-26
282.88,288.76,280.25,283.64,241784,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-10-27
279.62,282.39,272.48,273.03,351987,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-10-28
272.51,279.08,272.28,276.57,262444,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-10-29
276.62,279.35,269.33,271.66,256823,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-10-30
276.32,283.85,276.32,283.58,355234,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-02
287.09,292.48,285.85,291.25,400748,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-03
291.02,297.98,285.15,293.5,430592,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-04
296.32,306.44,296.32,304.07,293344,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-05
303.65,308.07,301.06,306.63,267804,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-06
313.21,319.77,291.52,291.83,513119,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-09
295.28,299.14,292.76,294.32,340828,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-10
296.49,296.56,289.42,292.59,265370,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-11
292.03,294.95,287.71,291.12,273930,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-12
294.87,300.88,294.87,298.82,174730,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-13
300.71,302.56,296.02,301.76,202463,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-16
298.35,300.41,295.44,299.09,170863,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-17
299.95,300.81,295.65,296.15,193582,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-18
294.75,298.92,294.02,298.51,175394,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-19
294.94,298.5,290.92,294.61,213541,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-20
296.64,298.57,293.62,295.86,169746,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-23
298.53,303.23,296.48,300.71,198546,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-24
301.9,301.9,287.84,288.97,312867,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-25
288.99,291.27,286.47,289.96,87547,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-27
286.0,288.0,282.37,287.83,469195,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-11-30
291.16,291.51,286.33,288.35,251006,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-01
285.87,287.59,276.28,280.99,235930,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-02
282.24,285.26,279.45,280.53,326795,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-03
281.06,282.27,275.66,276.0,252265,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-04
277.42,279.51,273.68,277.05,253519,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-07
277.43,283.28,276.94,282.96,197336,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-08
280.15,287.66,280.15,286.06,240978,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-09
284.28,285.49,273.06,277.81,380682,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-10
276.22,281.07,274.92,280.42,252317,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-11
282.8,282.8,272.53,273.0,267732,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-14
274.15,277.83,272.12,277.0,481159,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-15
276.74,279.78,271.63,276.47,460424,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-16
278.43,281.53,274.36,280.59,258062,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-17
283.05,285.03,274.75,277.56,508523,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-18
274.36,279.28,274.36,277.36,325017,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-21
276.69,279.6,272.58,272.82,235805,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-22
272.85,277.61,271.1,273.42,186472,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-23
273.29,275.06,272.0,273.43,72417,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-24
273.88,276.05,271.05,272.18,165414,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-28
274.3,274.3,268.02,270.11,167457,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-29
270.01,274.97,270.01,271.99,182828,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-30
271.74,274.58,268.53,273.97,252160,0.0,0.0,LII,Lennox International,Industrials,Building Products,2020-12-31
274.68,276.09,266.77,268.23,235167,0.0,0.0,LII,Lennox International,Industrials,Building Products,2021-01-04
268.5,271.85,267.32,268.26,256058,0.0,0.0,LII,Lennox International,Industrials,Building Products,2021-01-05
269.92,276.68,269.92,273.5,250915,0.0,0.0,LII,Lennox International,Industrials,Building Products,2021-01-06
