Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
169.97,171.23,165.86,168.13,4423298,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-10-26
169.05,169.45,165.01,165.14,4458034,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-10-27
161.29,164.47,159.42,161.42,5026686,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-10-28
162.26,164.05,160.64,160.75,3743569,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-10-29
159.87,160.7,155.77,158.1,3997457,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-10-30
159.89,162.71,158.14,160.23,3034865,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-02
162.37,165.47,161.3,164.65,2958328,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-03
165.41,171.44,165.25,168.22,5096063,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-04
171.42,173.56,168.4,169.25,4135359,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-05
169.4,169.51,167.44,168.52,2723738,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-06
169.5,170.25,152.93,153.45,10896138,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-09
155.6,157.34,153.01,155.71,6044261,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-10
157.64,159.62,157.0,158.0,4594119,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-11
159.28,160.0,156.64,157.98,3952306,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-12
158.43,159.98,157.76,159.23,4123429,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-13
159.07,162.0,158.66,161.9,5104642,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-16
159.8,161.5,156.56,159.86,5734881,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-17
150.37,154.31,146.72,146.74,18316609,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-18
148.59,151.25,148.0,149.6,9571240,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-19
149.33,150.96,148.89,149.93,6146553,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-20
150.28,154.14,150.11,153.67,7050943,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-23
154.45,156.0,153.71,154.96,7264490,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-24
155.33,156.46,154.01,154.88,5263660,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-25
155.69,157.37,154.06,154.67,2081323,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-27
154.46,155.86,151.39,155.82,7340149,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-11-30
155.82,156.78,152.72,153.4,6213945,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-01
152.4,153.0,150.44,151.81,5200889,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-02
151.99,153.15,151.36,151.97,4910921,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-03
151.75,152.4,149.83,150.0,4777729,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-04
150.11,152.58,149.31,151.99,7381732,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-07
152.66,153.03,150.46,151.24,6806702,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-08
159.5,160.98,157.22,160.13,11238140,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-09
159.49,161.45,158.0,160.22,6724283,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-10
159.77,160.11,157.48,157.82,5341215,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-11
158.77,162.44,158.37,160.09,4718711,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-14
161.13,164.29,160.94,163.33,4812579,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-15
164.12,166.19,162.57,163.2,4500059,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-16
164.64,165.4,163.08,163.54,4520626,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-17
163.14,165.32,161.89,163.2,12530329,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-18
162.02,165.86,161.27,164.33,5230361,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-21
164.02,165.86,163.62,164.61,3325814,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-22
165.0,165.63,162.3,162.43,3643714,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-23
162.43,163.2,162.1,162.77,1044638,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-24
163.25,163.83,161.61,162.04,2666649,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-28
162.95,163.3,159.48,160.54,3352033,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-29
160.6,161.69,160.18,160.56,3248071,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-30
160.61,160.86,159.26,160.51,2354283,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2020-12-31
160.77,161.38,157.13,160.38,7285362,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-04
159.44,162.08,159.12,160.92,3958234,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-05
158.37,165.15,158.0,163.07,5010240,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-06
163.45,164.84,162.79,163.71,4194304,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-07
163.74,166.25,163.04,165.05,5033145,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-08
164.91,167.4,164.3,166.32,3069883,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-11
166.29,170.24,165.16,168.99,4107437,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-12
170.13,171.69,169.22,169.83,3337058,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-13
170.35,172.58,169.97,170.39,4127456,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-14
168.49,172.01,168.0,171.34,4014709,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-15
172.9,173.81,170.64,170.76,4769015,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-19
171.24,174.05,169.65,172.39,3950317,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-20
173.59,175.07,172.26,172.34,5361548,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-21
171.89,174.12,171.03,172.4,3658506,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-22
172.91,175.14,171.44,174.1,4808717,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-25
174.29,174.9,173.0,173.7,2535968,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-26
171.04,171.86,167.04,167.71,4807933,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-27
168.89,173.73,167.76,172.34,3855853,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-28
171.55,171.8,166.5,166.85,4438681,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-01-29
167.12,168.19,162.14,163.37,3955086,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-01
163.88,167.79,163.44,166.66,3223872,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-02
166.26,170.22,166.11,169.88,3066786,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-03
170.53,173.14,169.81,173.03,2714941,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-04
174.68,175.2,173.19,175.03,2596666,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-05
175.98,179.21,175.51,179.17,3467607,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-08
178.83,179.46,177.38,177.78,2761657,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-09
179.0,179.0,175.14,177.24,2865651,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-10
176.99,177.64,174.88,175.73,2817359,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-11
175.77,177.67,175.41,177.16,2068181,0.0,0.0,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,2021-02-12
