Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
35.04,35.35,34.33,34.76,12365790,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-10-26
34.85,34.97,34.25,34.38,10758190,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-10-27
33.69,34.45,33.33,33.89,16392420,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-10-28
33.9,35.82,33.88,35.33,16081090,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-10-29
34.8,35.27,33.83,34.21,17501410,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-10-30
34.81,35.45,34.52,35.1,13428310,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-02
35.67,37.32,35.51,37.05,17162350,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-03
37.39,38.32,36.73,38.03,15284490,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-04
39.0,40.03,38.84,39.97,18129190,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-05
39.99,41.2,39.58,40.94,14737850,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-06
42.5,43.6,41.58,41.63,19351970,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-09
40.91,41.57,40.45,40.79,14855570,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-10
41.2,42.86,41.0,42.4,14415940,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-11
42.48,42.6,41.64,41.85,9503910,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-12
42.52,42.98,42.41,42.63,11360200,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-13
43.08,43.96,42.71,43.93,13467070,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-16
43.55,43.78,42.9,43.19,9918680,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-17
43.61,43.88,43.0,43.03,13047490,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-18
42.9,43.89,42.5,43.77,11250150,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-19
43.85,44.5,43.34,43.36,14458750,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-20
43.66,44.99,43.5,44.87,10893920,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-23
45.0,45.11,44.08,44.64,12011370,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-24
44.84,44.95,44.05,44.68,8492170,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-25
45.02,46.06,44.98,45.65,7279000,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-27
45.52,45.69,44.56,45.27,14345290,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-11-30
46.01,46.95,45.76,46.76,14021210,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-01
46.63,48.1,46.56,47.92,18045580,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-02
48.01,49.18,47.92,48.41,15955880,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-03
48.69,50.16,48.62,50.0,17551490,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-04
49.94,50.94,49.54,50.87,15651790,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-07
50.56,51.66,50.54,51.17,13287070,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-08
50.9,51.47,48.97,49.38,19999300,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-09
49.0,49.62,48.48,49.02,13030770,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-10
48.85,49.43,48.37,49.17,14950060,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-11
49.57,50.1,49.02,49.19,10547550,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-14
50.0,50.32,49.27,49.53,11857900,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-15
49.6,49.65,48.93,49.33,15148150,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-16
48.96,49.19,48.29,48.62,14334770,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-17
48.42,48.57,47.77,48.1,25876750,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-18
46.91,48.47,46.87,48.32,17032420,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-21
47.94,48.17,47.34,47.7,9665530,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-22
47.96,48.08,47.09,47.11,7207350,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-23
47.37,48.03,47.29,48.03,3329680,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-24
48.56,48.74,47.54,47.61,6927970,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-28
47.57,47.7,46.9,47.32,9016680,0.0,0.0,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2020-12-29
