Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
71.06,71.21,67.23,67.79,1205689,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-10-26
67.68,68.1,66.17,66.23,752598,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-10-27
64.45,65.1,63.21,63.31,1105126,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-10-28
63.22,64.87,62.84,64.09,1134765,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-10-29
64.09,64.44,62.62,63.45,729936,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-10-30
64.52,65.99,64.12,65.67,1069942,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-02
66.75,68.44,66.59,67.23,675191,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-03
67.7,68.91,67.09,67.21,1243387,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-04
67.91,68.71,67.14,67.76,772746,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-05
67.78,68.31,65.89,66.39,772786,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-06
72.86,82.39,72.71,75.87,2463620,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-09
76.46,76.92,75.24,76.46,1088928,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-10
76.48,76.72,73.69,73.78,1029995,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-11
73.1,73.1,70.79,71.41,744943,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-12
72.0,72.55,71.07,71.93,588878,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-13
74.26,74.62,72.2,74.23,1103782,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-16
73.44,74.77,73.07,74.5,706588,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-17
74.62,75.48,73.23,73.24,1077321,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-18
72.49,72.62,70.46,71.6,1028806,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-19
71.21,71.39,69.31,69.62,1234508,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-20
70.04,70.42,69.35,70.07,1344787,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-23
71.53,73.38,71.01,71.98,1576003,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-24
71.96,74.12,71.11,73.26,1047129,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-25
73.02,73.63,72.32,73.19,661230,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-27
73.0,73.0,71.76,72.38,3605907,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-11-30
73.29,73.78,71.58,72.75,1070334,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-01
71.77,73.12,71.75,72.63,821210,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-02
73.0,76.22,72.64,75.66,846127,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-03
75.42,76.39,75.03,76.38,1341202,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-04
78.5,79.7,76.28,76.6,867599,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-07
75.79,77.95,75.69,77.5,572277,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-08
77.8,78.51,76.75,77.4,606585,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-09
76.58,77.48,75.63,76.39,970992,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-10
75.93,77.61,75.61,77.28,674169,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-11
77.83,78.78,76.42,76.54,1013338,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-14
76.98,77.32,75.87,76.87,585125,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-15
76.7,77.0,75.52,76.09,519027,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-16
76.59,78.67,76.35,78.64,790456,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-17
78.88,80.0,78.08,78.66,1443404,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-18
77.01,77.63,75.62,77.47,726695,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-21
77.98,78.47,77.06,77.34,644398,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-22
77.6,79.35,77.38,78.6,626549,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-23
78.44,78.44,76.75,77.65,294932,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-24
78.35,78.5,77.2,77.44,375892,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-28
77.65,77.74,76.6,76.84,530759,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-29
76.77,77.62,76.6,77.36,424757,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-30
77.59,79.22,76.94,78.74,386461,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2020-12-31
78.38,78.85,74.49,75.67,1171555,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-04
75.83,76.08,74.72,75.39,1022662,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-05
76.29,78.0,75.75,76.63,1249383,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-06
77.12,79.78,74.22,75.7,1423877,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-07
75.3,77.15,73.61,76.83,971740,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-08
76.1,76.75,75.05,76.01,929293,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-11
75.63,76.24,74.36,75.08,1273227,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-12
74.81,77.58,74.27,76.69,862995,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-13
77.17,79.45,76.87,78.14,957668,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-14
77.73,79.09,76.93,78.5,994622,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-15
79.22,79.38,77.01,77.09,895538,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-19
76.95,77.97,76.45,77.37,663090,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-20
77.33,77.44,76.14,77.07,545810,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-21
77.08,78.59,76.68,78.15,850525,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-22
77.55,78.53,76.14,78.03,895676,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-25
78.61,78.78,76.78,76.93,1153463,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-26
75.64,76.0,72.61,73.38,1397744,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-27
74.34,77.41,73.88,76.91,917005,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-28
76.29,76.33,73.32,74.7,887529,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-01-29
75.16,75.87,74.09,75.6,736344,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-02-01
76.5,78.27,76.11,77.84,493423,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-02-02
77.17,79.48,77.17,78.54,536772,0.0,0.0,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2021-02-03
