Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
99.5,99.51,94.42,96.02,2912893,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-26
96.47,96.87,93.35,93.46,2512042,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-27
91.57,92.52,88.92,89.97,4302436,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-28
89.99,93.77,89.01,93.33,2728970,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-29
92.05,94.03,90.55,92.88,2732358,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-30
93.0,93.39,91.6,92.9,2320087,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-02
94.26,97.19,93.89,96.09,2658398,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-03
97.42,100.56,95.13,98.04,3274487,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-04
98.73,102.89,98.13,100.91,3538771,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-05
102.0,104.65,101.5,103.89,4167957,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-06
123.05,131.9,113.6,118.3,14217328,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-09
117.2,119.8,115.92,118.48,4883897,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-10
117.54,118.2,115.07,116.39,3846817,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-11
114.6,116.31,111.87,115.34,3115329,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-12
116.31,120.13,115.65,120.0,2806144,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-13
125.7,125.7,121.65,123.76,4596254,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-16
123.63,123.66,120.36,122.78,2924367,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-17
122.26,124.22,120.22,120.34,2370148,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-18
120.35,121.71,119.53,121.11,2034789,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-19
120.65,121.91,119.21,119.28,5292167,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-20
120.95,123.42,120.57,123.09,2185388,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-23
126.29,131.35,125.36,130.91,5307604,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-24
129.87,130.25,127.76,129.22,2086576,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-25
128.0,130.74,127.2,128.35,1365789,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-27
127.92,128.31,124.88,126.87,2094480,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-30
129.5,129.67,127.67,128.52,1891690,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-01
128.11,130.64,127.68,128.72,1955063,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-02
129.96,134.67,129.1,132.32,2693953,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-03
133.64,135.84,132.77,135.61,1923206,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-04
134.88,135.28,132.16,132.96,1766416,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-07
131.5,134.17,131.05,132.55,1552763,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-08
133.93,134.34,129.32,130.47,2787239,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-09
129.86,132.41,128.88,131.77,1791266,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-10
130.66,131.81,127.64,128.51,2171863,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-11
131.29,131.43,126.43,126.62,1888963,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-14
129.35,130.49,126.84,130.36,1812403,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-15
130.6,130.92,128.74,130.44,1752454,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-16
130.78,132.4,128.67,130.29,1818381,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-17
130.34,130.91,128.27,128.82,3376444,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-18
125.79,128.15,123.78,127.32,2187192,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-21
126.54,127.28,124.44,126.26,1498541,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-22
127.06,129.08,126.74,128.61,1624632,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-23
128.62,128.98,127.5,128.75,592067,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-24
130.25,130.57,128.12,128.32,1330284,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-28
129.49,131.33,128.4,129.0,1685107,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-29
129.21,131.35,128.5,130.47,1284661,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-30
130.29,132.52,128.83,131.92,1537281,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-31
131.51,132.11,123.36,124.77,3992316,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-04
123.93,127.31,123.58,126.09,1428925,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-05
124.84,130.73,124.84,129.39,2280080,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-06
129.26,131.19,129.14,130.35,1910032,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-07
131.2,132.19,128.98,129.69,1485477,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-08
127.75,129.24,127.07,128.66,1692490,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-11
127.89,128.6,126.1,127.39,2928158,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-12
126.81,127.32,124.39,126.51,2715009,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-13
128.35,130.63,127.26,128.93,1886605,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-14
128.23,128.38,125.74,126.8,1698367,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-15
127.33,128.23,125.46,126.86,1587263,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-19
126.03,127.64,125.03,126.73,1990152,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-20
126.01,127.69,124.52,126.62,1771945,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-21
125.27,126.27,122.78,122.9,2155253,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-22
122.39,122.59,116.9,119.62,4417475,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-25
120.38,121.44,119.3,120.44,1966367,0.0,0.0,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-26
