Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
54.21,54.31,53.05,53.95,1943728,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-10-26
54.12,54.16,52.87,53.57,2645948,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-10-27
53.23,56.64,52.74,53.77,3184016,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-10-28
53.99,54.41,52.89,53.97,2022225,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-10-29
53.99,54.4,52.14,53.6,2389443,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-10-30
54.17,55.16,53.93,54.74,1818737,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-02
55.29,56.33,55.05,55.96,1370434,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-03
56.13,58.16,55.58,57.32,1688758,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-04
58.2,58.78,57.58,57.67,1396396,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-05
57.89,58.23,57.2,58.07,2017356,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-06
60.02,60.05,53.72,53.74,3113035,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-09
53.62,54.38,52.99,53.57,3293507,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-10
54.06,54.76,53.34,54.65,2459128,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-11
54.53,54.92,53.7,54.08,1627135,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-12
54.45,55.49,54.44,55.15,1344296,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-13
55.54,56.1,55.03,55.29,1807619,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-16
55.13,56.03,54.62,55.72,1672361,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-17
55.8,55.86,54.56,55.03,1711327,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-18
54.76,55.86,54.66,55.24,1002104,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-19
55.13,55.24,54.0,54.6,1686609,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-20
54.9,55.4,54.23,55.2,1503121,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-23
55.5,55.74,54.56,54.63,2271565,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-24
54.64,55.01,53.62,54.16,1384762,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-25
54.29,54.7,53.89,54.24,763245,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-27
53.91,54.43,52.99,53.67,2392123,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-11-30
54.16,54.69,53.76,53.83,2829862,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-01
53.55,53.81,51.58,51.82,2891373,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-02
51.71,52.69,51.55,52.06,1834478,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-03
52.2,52.36,51.53,51.59,2188613,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-04
51.88,52.68,51.69,52.63,2510985,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-07
52.56,52.74,52.04,52.13,2005108,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-08
52.76,54.07,52.36,54.05,3176020,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-09
53.84,54.5,53.14,54.46,3112437,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-10
54.26,55.14,54.1,54.35,3325049,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-11
54.46,55.29,54.46,55.06,2994868,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-14
55.12,55.3,54.49,54.75,2168517,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-15
54.89,55.91,54.46,54.51,2493877,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-16
54.59,55.8,54.41,55.28,1610289,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-17
55.06,55.74,54.87,55.59,4177337,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-18
54.93,55.98,54.42,55.77,2081556,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-21
55.85,57.24,55.83,56.63,2311834,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-22
56.54,57.01,56.17,56.23,1634627,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-23
56.61,56.83,56.23,56.79,674605,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-24
57.35,57.35,55.32,55.39,1535750,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-28
55.66,55.85,54.17,54.65,1307847,0.0,0.0,MAS,Masco,Industrials,Building Products,2020-12-29
