Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
155.08,155.37,151.23,152.27,649673,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-10-26
152.14,153.3,149.11,149.21,622617,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-10-27
146.51,148.74,143.89,144.1,931286,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-10-28
143.84,145.2,141.32,143.79,1022086,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-10-29
143.26,147.59,143.26,147.49,1128292,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-10-30
150.34,152.58,148.22,152.03,1360214,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-02
156.1,163.24,155.3,160.01,1721962,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-03
164.5,170.23,164.04,166.04,1922688,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-04
168.55,174.05,167.86,170.95,1128562,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-05
170.01,172.2,169.57,170.92,742030,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-06
180.02,183.43,176.21,178.51,2223930,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-09
180.0,186.03,179.72,183.44,1648674,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-10
184.0,184.5,177.52,177.81,1350831,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-11
176.58,179.73,176.26,177.94,831595,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-12
178.71,184.16,178.17,182.99,812695,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-13
186.85,187.67,182.58,183.66,1290425,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-16
178.02,178.74,169.82,173.64,4037544,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-17
176.7,179.9,174.01,176.53,2043976,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-18
175.95,175.95,169.69,171.94,1839518,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-19
171.26,172.65,168.88,169.87,1162276,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-20
171.85,174.41,170.54,173.48,1012338,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-23
176.5,181.2,174.5,179.75,1971311,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-24
181.4,181.4,178.34,179.5,1015337,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-25
179.66,181.77,179.1,180.0,469445,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-27
180.75,182.52,179.24,179.91,1816080,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-11-30
183.06,183.54,178.82,179.0,1200475,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-01
178.81,181.92,178.58,180.85,1003515,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-02
180.55,181.06,178.71,179.16,958954,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-03
179.44,181.19,178.78,180.76,818973,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-04
180.1,180.33,177.14,178.26,994079,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-07
176.97,180.94,176.58,180.42,965120,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-08
180.55,181.15,176.88,178.68,791134,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-09
177.55,179.14,176.93,177.68,913806,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-10
176.95,177.09,173.1,174.66,756566,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-11
176.5,176.5,171.8,172.33,928048,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-14
173.52,174.41,171.38,173.08,831599,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-15
172.8,173.59,170.73,172.35,976870,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-16
173.81,174.0,171.07,172.91,816494,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-17
173.0,174.18,170.83,173.55,2190503,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-18
171.1,171.69,169.2,171.42,971747,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-21
171.47,172.21,169.34,170.01,729639,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-22
170.11,172.94,170.0,170.07,514480,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-23
170.72,170.99,169.09,170.78,256761,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-24
171.85,174.79,171.26,174.32,1038726,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-28
175.15,176.89,173.08,174.18,827351,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-29
174.04,175.13,173.05,173.42,588845,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-30
173.0,174.14,171.76,173.92,668008,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2020-12-31
174.28,175.0,170.5,174.43,1082950,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-04
174.52,177.96,173.65,175.6,1558412,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-05
174.0,182.5,173.87,178.93,1503891,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-06
179.9,183.76,179.51,183.02,2131712,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-07
183.86,184.39,181.84,183.55,1180319,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-08
182.6,184.98,181.23,183.4,1130337,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-11
184.05,184.34,181.96,183.27,705841,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-12
182.97,184.01,182.24,183.4,622802,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-13
183.28,184.5,181.85,182.82,699468,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-14
182.32,185.48,179.58,184.42,960485,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-15
183.98,184.82,181.41,182.47,810437,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-19
182.5,184.27,180.75,184.16,655007,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-20
184.19,184.83,180.81,182.79,774220,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-21
182.86,186.6,182.17,185.01,928668,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-22
183.17,185.39,182.3,183.15,906390,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-25
183.87,185.98,182.97,184.42,674036,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-26
182.93,184.1,177.35,178.19,1255226,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-27
178.3,182.8,178.24,180.13,922856,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-28
179.51,180.77,172.77,174.47,1728488,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-01-29
176.44,181.25,175.4,179.73,1430375,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-01
184.41,187.37,180.09,180.55,1706049,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-02
181.04,182.48,178.27,181.51,1556000,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-03
181.4,186.81,181.0,186.07,1382077,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-04
186.15,186.71,182.27,183.06,883772,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-05
182.23,183.85,181.11,183.8,931426,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-08
184.46,185.44,182.9,184.98,778837,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-09
186.31,186.62,182.82,184.04,761798,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-10
184.01,184.41,180.37,181.77,668215,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-11
181.77,183.5,180.67,182.24,913759,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-12
183.27,184.0,180.48,180.8,1472848,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-16
179.7,181.75,178.44,181.29,735845,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-17
179.96,180.69,177.38,177.72,969209,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-18
178.02,179.8,177.4,177.62,873518,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-19
177.34,178.64,174.88,177.99,756779,0.0,0.0,MCK,McKesson Corporation,Health Care,Health Care Distributors,2021-02-22
