Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
110.02,110.28,106.43,107.93,5842644,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-10-26
107.6,108.07,104.9,105.21,5091551,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-10-27
103.12,104.24,101.46,102.59,7176623,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-10-28
102.6,103.05,100.89,101.37,4926781,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-10-29
101.25,101.5,98.94,100.57,5936822,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-10-30
102.79,102.98,101.15,102.43,5420836,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-02
103.82,105.19,103.07,103.13,3940769,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-03
104.11,105.15,102.12,102.46,6108646,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-04
104.3,105.02,103.42,104.01,3770843,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-05
104.33,104.57,103.0,103.56,4054329,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-06
113.13,116.21,111.69,113.22,11924743,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-09
112.81,114.92,111.94,114.56,5564571,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-10
114.62,114.9,109.68,110.24,6280501,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-11
109.5,111.03,108.81,109.6,4003338,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-12
110.92,112.69,110.12,112.5,3710219,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-13
114.12,114.3,111.08,111.62,3823764,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-16
110.54,110.85,109.36,110.14,3661532,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-17
110.13,110.88,109.44,109.47,4471554,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-18
109.68,111.31,108.6,111.0,4591539,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-19
110.74,111.02,109.57,110.16,4600475,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-20
111.76,112.11,110.39,110.97,3607007,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-23
112.13,115.24,111.97,114.06,6789569,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-24
113.76,114.53,112.69,113.31,3368319,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-25
113.74,114.74,112.75,114.59,2082096,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-27
114.04,114.44,113.06,113.7,5913472,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-11-30
114.58,115.13,111.92,112.14,5109144,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-01
112.04,113.76,111.11,113.6,5186882,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-02
113.27,113.54,112.11,112.47,3513815,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-03
112.23,113.86,111.7,113.85,4148438,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-04
113.46,113.74,111.92,112.61,3116752,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-07
112.05,112.25,110.06,111.18,5831392,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-08
111.54,113.45,111.3,112.95,5663469,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-09
112.87,113.72,111.7,112.68,3472180,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-10
111.59,112.65,111.49,112.38,3914848,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-11
113.18,113.75,111.9,111.97,5485133,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-14
114.33,115.72,113.35,114.89,7657925,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-15
114.77,116.07,114.02,114.97,3457101,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-16
115.25,115.74,114.55,115.34,3026933,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-17
115.28,117.51,114.8,116.71,11057180,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-18
114.7,114.96,112.65,114.45,4439070,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-21
114.54,115.94,114.07,114.63,4043824,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-22
114.88,115.59,113.92,113.94,2438399,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-23
114.08,114.53,113.61,114.03,1025223,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-24
114.88,115.81,114.76,115.13,2322414,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-28
116.0,116.58,115.35,115.57,2783545,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-29
115.5,116.63,115.26,115.64,2101939,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-30
115.75,117.24,115.48,117.14,2567630,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2020-12-31
117.2,117.78,114.44,116.02,4686100,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-04
116.0,117.64,115.32,116.95,3472225,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-05
116.57,119.56,116.57,118.86,4566625,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-06
118.88,119.73,117.96,118.7,3982968,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-07
118.91,119.87,118.39,119.71,3612022,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-08
118.56,119.48,117.58,118.5,3812327,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-11
118.12,118.3,116.58,117.29,3308591,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-12
117.7,119.71,117.12,118.72,4160339,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-13
118.29,119.27,117.55,117.77,4397492,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-14
117.54,118.3,116.59,116.81,6164721,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-15
117.65,119.0,117.23,118.31,4664185,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-19
118.56,119.5,117.96,119.29,4174112,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-20
118.9,119.29,117.1,117.91,3882674,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-21
117.7,117.76,116.56,116.58,3143064,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-22
116.73,116.99,115.82,116.9,3412894,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-25
117.03,117.54,116.57,116.75,3430143,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-26
115.21,115.45,111.13,111.5,6997306,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-27
112.16,115.86,112.16,114.77,4341956,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-28
114.02,114.02,111.08,111.33,7403169,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-01-29
112.66,113.22,110.45,111.18,6037308,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-01
112.91,115.26,112.28,113.95,3962491,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-02
113.67,113.91,112.09,112.63,4750475,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-03
113.13,117.48,112.51,117.0,6032648,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-04
118.0,118.9,117.73,118.4,4230765,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-05
118.38,118.77,117.6,118.07,4917125,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-08
118.36,119.52,117.52,117.88,3700999,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-09
118.59,119.0,116.95,117.44,3493927,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-10
117.66,119.0,117.21,118.72,3950527,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-11
118.93,119.88,118.53,119.74,3064540,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-12
119.74,120.52,118.6,119.68,5576473,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-16
118.53,119.0,117.12,118.16,3422323,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-17
117.22,117.74,115.25,115.39,6137921,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-18
115.61,116.08,112.63,113.33,10591821,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-19
112.77,116.58,112.58,115.75,5910175,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-22
117.49,119.75,116.5,118.0,6089457,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-23
118.04,119.51,117.77,118.74,6577246,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-24
118.08,118.9,117.02,117.88,4279774,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-25
118.56,118.92,116.77,116.97,5317188,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-02-26
118.0,119.21,117.57,117.86,4716767,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-01
118.1,118.49,117.12,117.87,3770633,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-02
117.27,119.05,116.8,117.95,4643985,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-03
118.08,118.57,114.07,115.27,5147750,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-04
115.71,118.76,115.26,118.26,4764281,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-05
118.25,118.44,116.61,116.67,3971771,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-08
117.59,119.14,116.91,117.05,4103918,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-09
118.1,119.44,117.27,118.66,4572080,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-10
119.35,119.35,117.6,118.1,3745853,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-11
117.95,119.24,117.86,118.81,3117380,0.0,0.0,MDT,Medtronic,Health Care,Health Care Equipment,2021-03-12
