Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
97.42,97.97,96.36,97.03,543946,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-10-26
97.25,97.64,96.02,96.1,1099392,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-10-27
94.86,95.53,92.7,92.84,922808,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-10-28
92.8,93.5,91.92,91.95,875112,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-10-29
91.55,92.15,89.26,90.26,1383996,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-10-30
91.69,93.28,91.57,92.58,1017018,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-02
93.59,94.71,93.01,93.84,707516,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-03
94.42,96.28,94.18,94.49,797490,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-04
95.9,95.96,93.82,94.27,849406,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-05
94.38,95.94,93.5,94.33,727714,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-06
95.88,97.0,88.92,89.16,2175730,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-09
89.5,91.93,89.08,90.97,1171110,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-10
91.82,93.54,91.7,93.44,1041774,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-11
94.08,94.36,91.44,92.49,636830,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-12
92.44,92.98,91.15,92.31,609672,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-13
92.6,92.92,90.76,92.09,1158804,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-16
91.62,92.36,90.9,91.33,1350044,0.0,0.0,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2020-11-17
