Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
79.33,79.8,78.26,78.84,8779289,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-10-26
78.93,80.23,77.99,77.99,11782922,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-10-27
77.13,77.73,76.02,76.18,8716697,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-10-28
76.17,76.59,74.67,75.89,9037551,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-10-29
75.38,75.89,73.94,75.21,10707632,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-10-30
76.45,76.86,75.64,76.71,7932703,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-02
77.47,78.23,76.76,76.92,7450620,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-03
79.94,82.89,79.54,80.62,14213735,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-04
82.06,82.9,80.44,80.46,9043955,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-05
79.45,81.14,79.45,80.36,6810912,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-06
84.78,85.17,80.35,80.5,10977406,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-09
81.78,82.02,81.01,81.11,8405952,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-10
81.87,81.87,80.59,81.06,5647140,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-11
80.55,81.0,79.03,79.86,7276939,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-12
80.24,81.85,79.72,81.09,7482952,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-13
81.23,81.89,79.7,80.18,9307429,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-16
81.06,81.96,80.41,81.5,9327664,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-17
81.43,81.97,80.23,80.25,8545866,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-18
80.77,80.77,79.33,80.39,6907325,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-19
80.47,80.81,79.73,80.45,8408618,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-20
80.61,81.16,79.38,80.28,9280752,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-23
80.02,80.89,79.67,80.14,12431651,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-24
80.14,80.46,79.6,80.06,5857102,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-25
80.3,80.68,79.56,79.86,5386008,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-27
80.0,80.54,79.41,80.39,13984455,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-11-30
80.95,82.46,80.82,81.55,9856603,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-01
81.94,82.74,81.29,81.83,7021001,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-02
81.94,81.97,80.82,81.45,6910275,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-03
81.14,81.96,81.11,81.94,8352152,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-04
82.06,83.47,82.05,82.51,8540016,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-07
82.29,83.74,82.26,83.18,8432722,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-08
83.82,83.88,82.54,83.47,7031818,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-09
83.66,83.94,82.72,82.99,7207150,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-10
82.85,83.42,82.52,82.96,7732297,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-11
82.63,83.08,80.04,80.32,12679448,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-14
80.5,81.04,80.0,80.48,9835734,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-15
80.28,80.75,79.65,79.83,9224655,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-16
80.39,80.56,79.68,79.82,11357594,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-17
79.71,80.18,78.45,79.53,33639530,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-18
78.8,79.33,77.74,79.29,10874767,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-21
78.99,79.99,78.24,79.42,8819228,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-22
79.59,80.43,79.57,79.76,5974181,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-23
80.0,80.43,79.87,80.14,2762033,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-24
80.65,81.14,80.13,80.45,4680539,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-28
80.8,81.59,80.76,81.42,5533860,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-29
81.66,81.73,80.54,80.59,5736215,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-30
80.64,81.94,80.38,81.8,5319045,0.0,0.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,2020-12-31
