Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
345.99,350.54,345.38,349.56,457751,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-10-26
349.6,360.84,348.51,356.9,714456,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-10-27
349.99,350.1,338.91,340.68,625027,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-10-28
341.93,348.48,336.03,345.49,442291,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-10-29
344.15,351.62,344.15,349.84,590187,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-10-30
355.07,365.8,351.54,356.85,443867,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-02
360.54,372.9,359.0,369.47,582025,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-03
371.1,399.41,371.1,398.22,913383,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-04
399.95,418.72,399.68,417.73,915188,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-05
418.1,427.02,407.01,421.15,644250,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-06
434.13,437.35,390.46,390.46,1256838,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-09
388.61,391.57,373.48,379.82,757448,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-10
381.72,402.42,381.71,397.02,579248,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-11
396.87,397.94,387.65,389.48,453662,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-12
390.56,392.18,386.42,388.42,425483,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-13
389.53,398.31,383.96,397.6,473112,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-16
395.0,404.69,393.53,403.64,480478,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-17
403.99,407.23,399.75,399.95,408342,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-18
399.99,401.33,395.91,400.79,298912,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-19
401.43,409.62,399.91,400.3,265521,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-20
401.82,408.72,398.73,401.97,229835,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-23
402.0,402.88,395.68,399.64,450644,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-24
400.89,404.04,396.3,403.95,310381,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-25
406.13,408.57,400.84,402.25,227696,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-27
400.48,411.2,400.48,409.42,678011,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-11-30
414.35,417.05,408.89,414.5,478394,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-01
414.08,418.37,412.49,416.16,311927,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-02
416.2,422.25,415.36,419.3,287011,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-03
419.3,428.49,419.3,421.71,663207,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-04
423.43,427.9,420.0,422.82,445388,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-07
423.55,429.77,421.87,426.4,348162,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-08
424.93,426.59,411.7,414.62,434466,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-09
414.26,423.07,411.42,422.6,353435,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-10
420.93,422.28,415.7,419.47,232550,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-11
419.93,430.79,419.93,423.9,339160,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-14
428.19,431.96,423.9,424.0,368551,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-15
426.53,430.15,422.51,429.84,358283,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-16
432.9,438.57,430.31,436.78,422343,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-17
437.15,444.02,435.22,443.06,829586,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-18
438.62,442.38,427.34,435.04,334105,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-21
435.5,438.42,431.45,437.58,220216,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-22
435.0,438.09,428.63,428.63,232436,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-23
429.06,434.5,429.06,432.46,77558,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-24
437.71,442.39,430.46,436.37,306100,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-28
440.77,440.77,433.56,434.57,173344,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-29
437.17,438.8,434.04,436.99,173975,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-30
437.45,446.9,436.36,446.53,256978,0.0,0.0,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2020-12-31
