Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
213.85,216.34,208.1,210.08,37111561,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-10-26
211.59,214.67,210.33,213.25,36685925,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-10-27
207.67,208.84,202.1,202.68,51178393,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-10-28
204.07,207.36,203.37,204.72,31372563,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-10-29
203.5,204.29,199.62,202.47,36968111,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-10-30
204.29,205.28,200.12,202.33,30842163,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-02
203.89,208.12,203.12,206.43,27511636,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-03
214.02,218.32,212.42,216.39,42299777,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-04
222.04,224.12,221.15,223.29,36080137,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-05
222.26,224.36,218.03,223.72,25231895,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-06
224.44,228.12,217.88,218.39,44347950,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-09
214.5,216.5,209.72,211.01,44022470,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-10
212.39,218.04,212.2,216.55,29440788,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-11
217.21,219.11,214.46,215.44,21616115,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-12
216.36,217.42,214.16,216.51,18630307,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-13
214.87,217.74,214.52,217.23,24953344,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-16
216.1,217.68,214.08,214.46,24154112,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-17
213.65,215.17,210.93,211.08,28372789,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-18
211.38,213.03,209.93,212.42,24792746,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-19
212.2,213.28,210.0,210.39,22843119,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-20
210.95,212.29,208.16,210.11,25683507,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-23
209.59,214.25,208.86,213.86,33979731,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-24
215.11,215.29,212.46,213.87,20938887,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-25
214.85,216.27,214.04,215.23,14512213,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-27
214.1,214.76,210.84,214.07,33064753,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-11-30
214.51,217.32,213.35,216.21,30931318,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-01
214.88,215.47,212.8,215.37,23724509,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-02
214.61,216.38,213.65,214.24,25120922,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-03
214.22,215.38,213.18,214.36,24144649,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-04
214.37,215.54,212.99,214.29,24496997,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-07
213.97,216.95,212.89,216.01,23284094,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-08
215.16,215.22,211.21,211.8,32282603,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-09
211.77,213.08,210.36,210.52,26467017,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-10
210.05,213.32,209.11,213.26,30786640,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-11
213.1,216.21,212.88,214.2,28794179,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-14
215.16,215.42,212.24,214.13,27018106,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-15
214.75,220.11,214.72,219.28,35021923,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-16
219.87,220.89,217.92,219.42,32442784,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-17
218.59,219.69,216.02,218.59,63354922,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-18
217.55,224.0,217.28,222.59,37181886,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-21
222.69,225.63,221.85,223.94,22643397,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-22
223.11,223.56,220.8,221.02,18699638,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-23
221.42,223.61,221.2,222.75,10550572,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-24
224.45,226.03,223.02,224.96,17933496,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-28
226.31,227.18,223.58,224.15,17402513,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-29
225.23,225.63,221.47,221.68,20272337,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-30
221.7,223.0,219.68,222.42,20692132,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2020-12-31
222.53,223.0,214.81,217.69,37130139,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-04
217.26,218.52,215.7,217.9,23808703,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-05
212.17,216.49,211.94,212.25,35930653,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-06
214.04,219.34,213.71,218.29,27694480,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-07
218.68,220.58,217.03,219.62,22956136,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-08
218.47,218.91,216.73,217.49,23047029,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-11
216.5,217.1,213.32,214.93,23249336,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-12
214.02,216.76,213.93,216.34,20087080,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-13
215.91,217.46,212.74,213.02,28846837,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-14
213.52,214.51,212.03,212.65,31730012,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-15
213.75,216.98,212.63,216.44,30480859,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-19
217.7,225.79,217.29,224.34,37777260,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-20
224.7,226.3,222.42,224.97,30746353,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-21
227.08,230.07,225.8,225.95,30172663,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-22
229.12,229.78,224.22,229.53,33152095,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-25
231.86,234.18,230.08,232.33,49167001,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-26
238.0,240.44,230.14,232.9,69789638,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-27
235.61,242.64,235.09,238.93,49111159,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-28
235.99,238.02,231.35,231.96,42503138,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-01-29
235.06,242.5,232.43,239.65,33314193,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-01
241.3,242.31,238.69,239.51,25916337,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-02
239.57,245.09,239.26,243.0,27033104,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-03
242.66,243.24,240.37,242.01,25196100,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-04
242.23,243.28,240.42,242.2,18054752,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-05
243.15,243.68,240.81,242.47,22211929,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-08
241.87,244.76,241.38,243.77,23564953,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-09
245.0,245.92,240.89,242.82,22186706,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-10
244.78,245.15,242.15,244.49,15741059,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-11
243.93,245.3,242.73,244.99,16561079,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-12
245.03,246.13,242.92,243.7,26578487,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-16
241.32,244.31,240.94,244.2,20685609,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-17
241.8,243.93,240.86,243.79,16925563,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-18
243.75,243.86,240.18,240.97,25262600,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-19
237.42,237.93,232.4,234.51,36310936,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-22
230.32,234.83,228.73,233.27,30228704,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-23
230.01,235.2,229.0,234.55,26339746,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-24
232.08,234.59,227.88,228.99,39437555,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-25
231.52,235.37,229.54,232.38,37818227,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-02-26
235.9,237.47,233.15,236.94,25332837,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-01
237.01,237.3,233.45,233.87,22812459,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-02
232.16,233.58,227.26,227.56,33944526,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-03
226.74,232.49,224.26,226.73,44727785,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-04
229.52,233.27,226.46,231.6,41865120,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-05
231.37,233.36,227.13,227.39,35267440,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-08
232.88,235.38,231.67,233.78,33080531,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-09
237.0,237.0,232.04,232.42,29715812,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-10
234.96,239.17,234.31,237.13,29907586,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-11
234.01,235.82,233.23,235.75,22653662,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-12
234.96,235.18,231.81,234.81,25974669,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-15
236.28,240.06,235.94,237.71,28092196,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-16
236.15,238.55,233.23,237.04,29562100,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-17
232.56,234.19,230.33,230.72,34852251,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-18
231.02,232.47,229.35,230.35,46430730,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-19
230.27,236.9,230.14,235.99,30121755,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-22
237.48,241.05,237.07,237.58,31638376,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-23
237.84,238.0,235.32,235.46,25620127,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-24
235.3,236.94,231.57,232.34,34061853,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-25
231.55,236.71,231.55,236.48,25470753,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-26
236.59,236.8,231.88,235.24,25227455,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-29
233.52,233.85,231.1,231.85,24792012,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-30
232.91,239.1,232.39,235.77,43614871,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-03-31
238.47,242.84,238.05,242.35,30337982,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-01
242.76,249.96,242.7,249.07,36890609,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-05
247.61,249.4,246.88,247.86,22816923,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-06
247.81,250.93,247.19,249.9,22713585,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-07
252.77,254.14,252.0,253.25,23625197,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-08
252.87,255.99,252.44,255.85,24326833,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-09
254.71,257.67,254.62,255.91,27148668,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-12
257.26,259.19,256.83,258.49,23837469,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-13
257.48,258.83,255.16,255.59,23070938,0.0,0.0,MSFT,Microsoft,Information Technology,Systems Software,2021-04-14
