Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
118.69,122.0,117.65,119.26,1945692,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-10-26
119.41,127.42,119.31,125.78,3451570,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-10-27
123.05,123.45,118.13,118.52,2030403,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-10-28
119.53,123.69,119.0,122.12,1622638,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-10-29
121.37,123.27,116.24,116.78,2146617,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-10-30
117.51,121.35,116.23,118.98,2735977,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-02
119.34,123.23,117.68,121.63,3386887,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-03
124.68,129.31,122.28,128.69,4101770,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-04
132.0,138.5,129.14,134.97,5816733,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-05
134.59,136.21,130.2,132.56,2951560,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-06
136.64,141.8,134.15,137.22,4233660,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-09
137.13,139.26,131.28,132.22,3009659,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-10
133.67,137.36,133.07,133.41,1377542,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-11
133.06,135.6,130.38,131.26,1472908,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-12
131.12,132.75,129.38,131.6,1281012,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-13
133.75,137.22,132.01,134.83,2093044,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-16
134.57,135.18,130.72,131.35,2164253,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-17
133.75,134.1,129.61,131.35,1040814,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-18
131.19,135.16,130.2,132.31,1168507,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-19
131.92,135.0,130.33,130.57,1516024,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-20
131.07,139.07,131.07,138.23,2321718,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-23
137.65,138.94,135.08,138.67,2026180,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-24
139.34,141.63,136.87,139.01,1478539,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-25
139.16,143.09,137.88,139.63,931436,0.0,0.0,MTCH,Match Group,Communication Services,Interactive Media & Services,2020-11-27
