Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
202.41,204.89,201.66,203.05,212721,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-26
202.98,203.03,197.39,197.75,127380,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-27
194.9,196.2,191.06,191.22,160954,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-28
190.06,195.85,188.71,195.2,182370,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-29
194.25,197.1,192.16,193.43,208358,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-30
193.59,198.46,193.59,197.0,156069,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-02
200.72,201.92,197.68,200.31,221302,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-03
201.0,204.37,196.55,202.67,155477,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-04
205.68,209.78,205.68,208.47,119232,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-05
209.56,212.19,202.39,210.66,139598,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-06
215.4,216.86,201.25,201.78,381360,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-09
202.26,202.68,195.11,197.18,479304,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-10
199.59,203.11,195.97,202.24,274377,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-11
203.43,203.43,197.25,199.24,156436,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-12
201.2,203.68,199.32,201.92,168865,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-13
204.04,206.84,201.3,206.83,293611,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-16
205.76,206.53,202.8,203.94,199923,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-17
204.7,205.35,201.35,201.5,191173,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-18
201.99,202.94,200.06,202.31,137716,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-19
202.86,203.6,200.4,202.1,140512,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-20
203.62,203.92,201.27,201.5,155319,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-23
203.3,205.23,201.18,204.53,217644,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-24
204.0,204.0,201.11,202.53,187347,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-25
202.01,204.62,201.64,204.37,95714,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-27
204.15,206.12,203.0,203.81,413922,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-30
205.99,206.68,202.51,203.76,339527,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-01
203.0,204.23,196.78,197.53,196077,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-02
193.08,199.66,193.08,195.31,183536,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-03
195.46,201.07,195.46,200.42,276056,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-04
201.19,201.53,198.14,199.02,143461,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-07
198.76,200.0,198.04,198.93,200482,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-08
199.34,200.22,198.0,198.53,263010,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-09
198.94,198.94,196.24,198.0,304740,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-10
197.39,198.5,195.73,197.79,228062,0.0,0.0,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-11
