Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
59.97,61.03,59.8,60.32,3834682,0.0,0.0,NEM,Newmont,Materials,Gold,2020-10-26
60.57,61.8,60.28,61.65,4513974,0.0,0.0,NEM,Newmont,Materials,Gold,2020-10-27
60.54,60.55,58.29,58.65,9936349,0.0,0.0,NEM,Newmont,Materials,Gold,2020-10-28
58.88,61.47,58.46,60.34,7124237,0.0,0.0,NEM,Newmont,Materials,Gold,2020-10-29
60.94,62.97,60.8,62.84,9216306,0.0,0.0,NEM,Newmont,Materials,Gold,2020-10-30
63.25,64.93,62.61,64.73,8441173,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-02
65.1,67.25,65.1,66.67,7570639,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-03
66.67,66.87,64.94,65.08,8494615,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-04
66.94,68.3,66.7,67.85,8620900,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-05
68.39,68.45,67.5,68.14,4744001,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-06
64.25,66.51,62.87,66.01,10978888,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-09
65.55,65.98,64.24,64.89,7229326,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-10
64.31,65.66,63.31,65.63,8140581,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-11
66.0,66.22,64.87,65.02,5408448,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-12
66.0,66.05,65.34,65.71,3512031,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-13
65.4,66.12,64.92,65.67,3619932,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-16
65.36,65.74,64.44,64.53,4310375,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-17
64.4,64.4,61.49,61.56,5990814,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-18
60.96,61.49,60.43,61.41,7123284,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-19
62.02,62.38,61.13,61.65,5512583,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-20
60.88,61.22,58.58,58.68,9187543,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-23
57.31,57.71,56.55,56.87,11712164,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-24
57.66,58.14,57.31,57.78,7365463,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-25
57.14,58.62,56.76,58.48,3749912,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-27
57.88,58.91,57.46,58.82,11075268,0.0,0.0,NEM,Newmont,Materials,Gold,2020-11-30
59.68,60.36,58.46,60.21,10639814,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-01
60.08,60.56,59.58,59.96,6894425,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-02
60.2,60.61,59.21,59.51,5561115,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-03
59.39,59.86,59.01,59.44,5192766,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-04
59.66,62.12,59.4,61.44,7250669,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-07
62.01,62.01,61.0,61.51,4478403,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-08
61.15,61.31,59.66,59.98,6066652,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-09
59.74,60.45,59.1,59.18,6386690,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-10
59.0,59.73,58.58,58.87,5055696,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-11
58.86,59.42,57.53,57.56,5871903,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-14
58.67,59.5,58.24,59.04,5070268,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-15
59.48,60.4,59.01,60.24,5460456,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-16
61.18,62.29,61.06,61.64,7369437,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-17
61.64,61.68,60.48,60.5,10884814,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-18
60.61,61.24,60.01,60.72,4972275,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-21
60.87,61.03,59.14,59.41,5189882,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-22
59.58,60.31,59.57,59.78,4002681,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-23
59.69,60.56,59.56,60.48,1857714,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-24
61.28,61.64,59.74,59.82,3827044,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-28
60.2,60.54,59.58,59.73,3868987,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-29
59.86,60.41,59.55,60.39,3614173,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-30
60.52,60.53,59.42,59.89,3729608,0.0,0.0,NEM,Newmont,Materials,Gold,2020-12-31
61.9,63.4,61.66,63.15,9616607,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-04
63.72,63.73,62.35,63.43,5726825,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-05
62.8,65.4,62.69,65.24,9989165,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-06
64.91,65.78,64.25,65.14,5466929,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-07
64.04,64.2,61.74,62.79,8927283,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-08
61.63,62.72,61.41,61.95,6005234,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-11
62.06,62.69,61.46,62.49,4347941,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-12
62.51,63.27,62.05,62.07,5436226,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-13
63.2,63.68,62.12,63.33,6340033,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-14
62.63,63.43,61.78,61.86,5928824,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-15
62.4,62.6,61.41,61.85,5380074,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-19
62.84,64.05,61.99,63.52,6636117,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-20
63.58,63.88,62.11,62.31,5073056,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-21
61.15,62.36,60.39,61.75,4540221,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-22
62.03,62.38,60.63,61.64,5684223,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-25
61.47,62.43,61.41,61.48,4703742,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-26
60.77,60.87,58.64,58.89,7642743,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-27
60.15,60.91,59.42,59.73,6544806,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-28
61.2,61.5,59.42,59.6,6781431,0.0,0.0,NEM,Newmont,Materials,Gold,2021-01-29
61.11,61.21,58.9,59.88,8022465,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-01
59.14,60.65,58.82,59.63,6350380,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-02
59.72,60.1,58.86,58.91,9612690,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-03
57.55,57.98,56.6,57.66,12331140,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-04
58.04,59.45,57.44,59.3,6323944,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-05
59.97,60.92,59.71,60.42,6347657,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-08
60.73,60.77,59.77,60.01,4492072,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-09
60.67,60.8,59.55,59.7,4615977,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-10
59.61,60.0,58.32,58.38,5388835,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-11
57.91,59.24,57.55,58.94,3882352,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-12
58.53,58.64,57.45,57.8,7396936,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-16
57.0,57.73,56.38,56.99,8902150,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-17
56.98,58.11,56.06,57.36,8218485,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-18
57.91,57.91,56.01,56.67,8932435,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-19
57.14,57.7,56.53,57.49,10363250,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-22
57.47,57.48,55.8,56.84,7683627,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-23
56.48,57.69,55.83,57.08,6274936,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-24
56.71,57.48,55.78,56.12,6863427,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-25
55.46,55.84,54.18,54.38,10657520,0.0,0.0,NEM,Newmont,Materials,Gold,2021-02-26
54.99,55.64,54.28,54.65,6842243,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-01
54.88,57.39,54.82,56.8,9379402,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-02
55.42,55.86,54.57,55.33,7391028,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-03
55.27,56.5,54.79,55.42,8405149,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-04
55.64,57.0,55.06,56.74,8041004,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-05
56.86,56.89,55.62,56.39,7111165,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-08
57.55,58.12,56.96,57.25,6738905,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-09
57.97,58.82,57.28,58.18,7105443,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-10
58.58,58.65,57.7,58.45,6508975,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-11
57.47,59.02,57.35,58.99,5764984,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-12
59.57,61.95,59.38,61.42,11356935,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-15
61.37,62.38,60.94,61.82,8387862,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-16
61.44,63.32,60.79,62.97,7882635,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-17
62.14,63.63,62.05,62.26,8621720,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-18
62.28,62.51,61.55,61.93,31899815,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-19
61.22,61.5,60.37,60.89,6516451,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-22
60.8,60.8,59.81,60.12,5810429,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-23
60.16,60.77,59.96,60.37,5680309,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-24
60.06,60.43,59.26,59.88,6007806,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-25
59.93,61.62,59.74,61.5,7006373,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-26
61.23,62.21,60.46,62.16,6257336,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-29
60.96,61.06,59.45,59.88,6534232,0.0,0.0,NEM,Newmont,Materials,Gold,2021-03-30
