Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
518.01,521.86,492.51,501.61,1655697,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-10-26
508.79,510.0,498.52,499.81,1219206,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-10-27
486.95,489.92,480.15,484.05,1807272,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-10-28
497.0,517.9,493.0,510.59,2885121,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-10-29
504.4,507.98,485.59,497.57,1893295,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-10-30
499.21,507.58,474.28,476.0,2010878,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-02
477.61,484.71,472.01,480.05,1800841,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-03
506.35,518.23,501.0,513.58,2264851,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-04
523.31,533.84,520.5,531.08,1213174,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-05
529.53,537.53,519.0,535.18,843736,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-06
509.65,528.21,500.79,501.96,2469415,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-09
495.53,499.68,472.01,481.28,2533564,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-10
493.71,508.06,489.55,503.36,1597850,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-11
520.45,525.01,506.37,509.78,1667446,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-12
511.6,511.6,495.52,508.01,1258274,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-13
497.49,505.75,495.19,502.28,1621921,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-16
505.0,516.0,504.07,513.1,1169504,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-17
511.25,513.56,502.39,507.12,1039010,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-18
508.2,519.93,505.0,514.33,993408,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-19
515.61,526.46,514.0,518.06,1220262,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-20
520.1,524.87,514.27,522.11,1317808,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-23
522.71,526.0,510.16,514.69,1202332,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-24
519.0,524.0,511.79,519.22,1093024,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-25
521.0,529.78,515.84,527.48,741692,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-27
530.0,535.0,520.98,534.55,1745945,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-11-30
536.0,541.74,525.96,539.59,1174282,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-01
530.77,535.0,521.17,526.52,1107466,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-02
527.79,539.5,523.3,525.24,1037865,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-03
525.54,529.75,522.24,525.7,754550,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-04
528.76,534.74,527.91,533.25,1391370,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-07
536.79,544.05,528.6,542.25,1891962,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-08
544.43,545.0,525.65,527.99,1673629,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-09
526.5,538.56,518.51,538.0,1048966,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-10
538.19,540.69,530.84,537.36,868857,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-11
538.5,539.1,530.96,532.48,1295520,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-14
532.0,535.11,525.08,527.38,1087277,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-15
532.95,549.88,532.0,545.0,1532056,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-16
549.47,558.34,549.47,554.07,1245339,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-17
558.47,566.74,555.55,565.43,2310461,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-18
558.02,562.45,542.7,550.82,1666061,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-21
550.71,562.5,548.97,561.72,1221791,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-22
561.61,565.0,549.72,550.06,903878,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-23
555.3,560.54,552.74,553.89,593701,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-24
563.0,563.0,540.9,543.74,1057928,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-28
550.22,551.63,539.3,545.98,937657,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-29
550.82,552.0,544.66,547.38,590773,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-30
547.01,551.08,543.71,550.43,669626,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2020-12-31
556.94,557.36,521.51,526.83,1917463,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-04
526.04,533.33,524.8,531.97,1560993,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-05
519.77,520.94,507.06,507.25,1994321,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-06
510.0,516.9,508.71,511.41,1904266,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-07
521.64,531.61,518.16,529.64,1624736,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-08
525.0,526.96,515.08,523.06,1304912,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-11
520.0,522.51,507.31,513.21,1199287,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-12
518.21,523.7,511.0,521.71,1093522,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-13
527.2,528.0,512.79,514.34,1469015,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-14
518.41,526.56,513.0,513.76,1175669,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-15
515.6,522.95,509.68,519.42,1006224,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-19
527.99,543.47,527.01,542.19,1567988,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-20
543.5,546.4,537.87,544.33,1040753,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-21
549.75,554.34,540.3,541.09,1053730,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-22
547.73,552.82,525.06,537.88,1736780,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-25
540.0,540.78,530.6,532.46,1439728,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-26
524.88,533.07,508.22,516.5,2295513,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-27
545.0,563.88,542.86,554.24,3319967,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-28
549.08,552.0,529.34,543.16,2408758,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-01-29
546.01,564.73,546.01,558.56,1743446,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-01
562.88,588.82,560.1,583.51,2280454,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-02
583.0,587.43,574.56,576.65,1532915,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-03
579.89,589.0,572.13,588.98,1273778,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-04
588.68,592.54,582.32,589.73,995009,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-05
591.31,598.37,584.0,587.91,1059265,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-08
587.14,588.6,576.01,581.78,1653665,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-09
585.76,593.78,579.01,589.36,982540,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-10
594.0,595.0,588.0,594.47,743754,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-11
591.32,593.71,585.53,591.29,836673,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-12
591.82,594.66,581.15,585.74,915054,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-16
580.0,583.14,570.75,580.94,906954,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-17
569.96,579.31,565.9,575.8,1009771,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-18
577.16,582.11,559.08,570.73,1994119,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-19
566.03,566.03,549.78,550.26,1057377,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-22
539.34,553.8,524.41,551.75,1595727,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-23
545.5,554.2,538.93,551.83,1134506,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-24
550.0,556.49,526.89,528.79,1774695,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-25
532.5,540.32,521.15,533.46,1822829,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-02-26
544.82,556.64,540.04,556.47,1256532,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-03-01
559.56,562.43,548.31,549.3,1135798,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-03-02
544.29,545.78,513.67,516.0,1821967,0.0,0.0,NOW,ServiceNow,Information Technology,Systems Software,2021-03-03
