Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
13.43,13.69,13.04,13.14,336894320,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-10-26
13.31,13.44,13.19,13.4,250519680,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-10-27
13.2,13.26,12.61,12.63,376518080,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-10-28
12.84,13.19,12.75,13.02,320081840,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-10-29
12.85,12.94,12.3,12.53,417396000,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-10-30
12.66,12.84,12.4,12.58,299652640,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-02
12.71,13.1,12.6,13.02,272893680,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-03
13.39,13.83,13.34,13.79,410229280,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-04
14.16,14.34,13.99,14.16,319028320,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-05
14.11,14.59,13.9,14.56,383348600,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-06
14.55,14.69,13.61,13.63,582977880,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-09
13.61,13.61,12.63,12.77,644067200,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-10
13.05,13.43,12.95,13.42,404743440,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-11
13.48,13.77,13.32,13.46,366635000,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-12
13.63,13.67,13.06,13.3,346762320,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-13
13.17,13.65,13.16,13.52,413774800,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-16
13.55,13.6,13.3,13.42,311966360,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-17
13.47,13.61,13.18,13.43,509965320,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-18
13.21,13.49,13.1,13.44,554934200,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-19
13.45,13.49,13.06,13.09,337089800,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-20
13.17,13.38,13.02,13.14,361002200,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-23
13.14,13.16,12.88,12.96,345699960,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-24
13.03,13.27,13.02,13.23,259916400,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-25
13.38,13.41,13.17,13.26,167275200,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-27
13.26,13.41,12.97,13.4,286952000,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-11-30
13.49,13.53,13.23,13.39,297571280,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-12-01
13.35,13.67,13.23,13.54,283169200,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-12-02
13.59,13.66,13.33,13.4,199520640,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-12-03
13.45,13.56,13.39,13.56,202243400,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-12-04
13.6,13.73,13.5,13.61,223240120,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-12-07
13.58,13.6,13.28,13.35,271920880,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-12-08
13.3,13.41,12.87,12.93,385301200,0.0,0.0,NVDA,Nvidia,Information Technology,Semiconductors,2020-12-09
